#=====================================================
# File created:        Tue-18-Feb-2025-at-10-14-10AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        4.171161
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2476.6035  0.2523 
   00001    0.6748   -3728.0135  0.2727 
   00002    0.6140   -4508.6514  0.2839 
   00003    0.5876   -5009.6358  0.2929 
   00004    0.5588   -5522.6596  0.2928 
   00005    0.5464   -5824.7570  0.3001 
   00006    0.5292   -6085.0068  0.2995 
   00007    0.5128   -6362.6456  0.3038 
   00008    0.4940   -6527.2371  0.3136 
   00009    0.4988   -6720.0539  0.3210 
   00010    0.4772   -6845.6998  0.3225 
   00011    0.4940   -6991.2756  0.3245 
   00012    0.4888   -7007.8166  0.3190 
   00013    0.4592   -7124.9046  0.3274 
   00014    0.4596   -7198.6456  0.3275 
   00015    0.4516   -7260.6448  0.3229 
   00016    0.4528   -7335.7188  0.3247 
   00017    0.4604   -7394.4169  0.3231 
   00018    0.4592   -7467.1871  0.3170 
   00019    0.4400   -7485.1965  0.3258 
   00020    0.4544   -7528.3882  0.3341 
   00021    0.4376   -7534.1137  0.3345 
   00022    0.4584   -7609.8144  0.3347 
   00023    0.4536   -7622.8093  0.3362 
   00024    0.4372   -7684.7664  0.3432 
   00025    0.4608   -7688.0325  0.3491 
   00026    0.4372   -7718.6941  0.3470 
   00027    0.4348   -7749.7002  0.3482 
   00028    0.4556   -7765.3770  0.3551 
   00029    0.4396   -7779.2533  0.3591 
   00030    0.4332   -7822.2349  0.3590 
   00031    0.4348   -7858.4916  0.3544 
   00032    0.4416   -7862.9818  0.3482 
   00033    0.4368   -7914.8736  0.3545 
   00034    0.4428   -7887.4715  0.3519 
   00035    0.4484   -7908.0759  0.3584 
   00036    0.4432   -7891.0226  0.3617 
   00037    0.4416   -7899.1306  0.3647 
   00038    0.4372   -7917.9723  0.3672 
   00039    0.4424   -7949.1113  0.3690 
   00040    0.4404   -7992.0169  0.3676 
   00041    0.4536   -7960.2154  0.3746 
   00042    0.4344   -8022.5067  0.3709 
   00043    0.4276   -8021.1457  0.3860 
   00044    0.4128   -8043.2290  0.3872 
   00045    0.4460   -7975.4932  0.3915 
   00046    0.4304   -7979.7674  0.3905 
   00047    0.4384   -7994.3963  0.3928 
   00048    0.4208   -7987.7909  0.3918 
   00049    0.4340   -8028.7276  0.3902 
   00050    0.4276   -8011.6695  0.3887 
