#=====================================================
# File created:        Tue-18-Feb-2025-at-09-55-36AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        4.004059
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2507.6755  0.2626 
   00001    0.6640   -3793.7250  0.2707 
   00002    0.6124   -4578.0321  0.2716 
   00003    0.5972   -5087.3693  0.2735 
   00004    0.5516   -5506.8003  0.2841 
   00005    0.5268   -5879.0470  0.2776 
   00006    0.5236   -6152.1779  0.2854 
   00007    0.5084   -6351.0612  0.2784 
   00008    0.5036   -6513.1836  0.2886 
   00009    0.4828   -6751.9474  0.2862 
   00010    0.4788   -6874.1894  0.2846 
   00011    0.4744   -6924.2171  0.2879 
   00012    0.4816   -7076.3907  0.2907 
   00013    0.4584   -7164.2132  0.2856 
   00014    0.4568   -7268.3922  0.2956 
   00015    0.4688   -7256.6686  0.2965 
   00016    0.4396   -7270.4874  0.2960 
   00017    0.4592   -7399.0121  0.3012 
   00018    0.4580   -7459.8846  0.3073 
   00019    0.4552   -7455.7023  0.3104 
   00020    0.4388   -7504.7051  0.3139 
   00021    0.4408   -7597.3200  0.3098 
   00022    0.4492   -7601.0588  0.3095 
   00023    0.4300   -7682.1136  0.3203 
   00024    0.4464   -7740.2489  0.3224 
   00025    0.4360   -7767.3467  0.3214 
   00026    0.4528   -7768.9987  0.3240 
   00027    0.4464   -7812.8834  0.3260 
   00028    0.4424   -7849.0207  0.3335 
   00029    0.4444   -7853.3609  0.3318 
   00030    0.4408   -7856.4983  0.3346 
   00031    0.4392   -7864.8011  0.3311 
   00032    0.4344   -7869.2915  0.3264 
   00033    0.4284   -7907.4370  0.3381 
   00034    0.4380   -7901.2954  0.3395 
   00035    0.4284   -7931.2038  0.3421 
   00036    0.4232   -7986.7914  0.3443 
   00037    0.4444   -8008.4035  0.3423 
   00038    0.4532   -8053.5734  0.3464 
   00039    0.4180   -8053.3618  0.3508 
   00040    0.4180   -8013.5573  0.3433 
   00041    0.4228   -7995.8080  0.3442 
   00042    0.4180   -8005.4155  0.3498 
   00043    0.4312   -7998.2567  0.3558 
   00044    0.4288   -8014.0974  0.3587 
   00045    0.4204   -8013.3365  0.3590 
   00046    0.4264   -8030.3664  0.3625 
   00047    0.4224   -8067.8865  0.3659 
   00048    0.4492   -8069.6319  0.3615 
   00049    0.4200   -8084.3544  0.3558 
   00050    0.4320   -8102.8280  0.3573 
