#=====================================================
# File created:        Tue-18-Feb-2025-at-10-19-20AM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        76.311934
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2559.5399  0.2843 
   00001    0.6768   -3787.4840  0.2898 
   00002    0.6152   -4582.0658  0.2836 
   00003    0.5728   -5207.0605  0.2767 
   00004    0.5536   -5616.2785  0.2830 
   00005    0.5496   -5890.1504  0.2927 
   00006    0.5144   -6202.1502  0.2937 
   00007    0.5044   -6435.7522  0.2981 
   00008    0.5144   -6586.9376  0.2982 
   00009    0.4932   -6711.4783  0.2964 
   00010    0.4920   -6836.5494  0.3086 
   00011    0.4776   -6907.0636  0.3035 
   00012    0.4720   -7003.6763  0.3037 
   00013    0.4704   -7105.9167  0.3086 
   00014    0.4740   -7209.6094  0.3128 
   00015    0.4516   -7266.5172  0.3096 
   00016    0.4652   -7303.9052  0.3129 
   00017    0.4520   -7357.0613  0.3098 
   00018    0.4564   -7418.0797  0.3176 
   00019    0.4648   -7507.2488  0.3191 
   00020    0.4512   -7521.4142  0.3110 
   00021    0.4464   -7602.1319  0.3108 
   00022    0.4428   -7620.4168  0.3130 
   00023    0.4508   -7632.6014  0.3068 
   00024    0.4352   -7721.8729  0.3062 
   00025    0.4384   -7764.8428  0.3169 
   00026    0.4276   -7794.9837  0.3156 
   00027    0.4356   -7844.2596  0.3115 
   00028    0.4440   -7923.5373  0.3157 
   00029    0.4448   -7916.5898  0.3173 
   00030    0.4392   -8025.7714  0.3297 
   00031    0.4292   -7999.2016  0.3296 
   00032    0.4200   -8049.1790  0.3314 
   00033    0.4196   -8031.3503  0.3256 
   00034    0.4352   -8051.5565  0.3276 
   00035    0.4232   -8048.9880  0.3264 
   00036    0.4200   -8068.4300  0.3209 
   00037    0.4264   -8057.4894  0.3253 
   00038    0.4332   -8099.9229  0.3257 
   00039    0.4392   -8117.4269  0.3218 
   00040    0.4252   -8050.0509  0.3228 
   00041    0.4156   -8095.3797  0.3293 
   00042    0.4324   -8088.7554  0.3317 
   00043    0.4312   -8123.2703  0.3377 
   00044    0.4256   -8159.8706  0.3343 
   00045    0.4372   -8153.0382  0.3310 
   00046    0.4312   -8139.3964  0.3298 
   00047    0.4124   -8130.6232  0.3321 
   00048    0.4324   -8176.3510  0.3326 
   00049    0.4284   -8136.6939  0.3359 
   00050    0.4400   -8120.2670  0.3396 
   00051    0.4120   -8109.9966  0.3454 
   00052    0.4320   -8158.5297  0.3474 
   00053    0.4244   -8161.7121  0.3529 
   00054    0.4288   -8175.6598  0.3611 
   00055    0.4400   -8152.7130  0.3648 
   00056    0.4436   -8157.2387  0.3604 
   00057    0.4308   -8193.1615  0.3669 
   00058    0.4228   -8184.2345  0.3658 
   00059    0.4260   -8182.2021  0.3642 
   00060    0.4296   -8256.4705  0.3638 
   00061    0.4188   -8266.9275  0.3644 
   00062    0.4104   -8245.7894  0.3651 
   00063    0.4056   -8244.3824  0.3704 
   00064    0.4224   -8271.9580  0.3769 
   00065    0.4212   -8267.0610  0.3746 
   00066    0.4228   -8274.4591  0.3788 
   00067    0.4152   -8276.9476  0.3774 
   00068    0.4288   -8269.4135  0.3776 
   00069    0.4016   -8283.5133  0.3779 
   00070    0.4260   -8276.8964  0.3868 
   00071    0.4208   -8289.0015  0.3901 
   00072    0.4272   -8296.4155  0.3881 
   00073    0.4280   -8212.4214  0.3917 
   00074    0.4164   -8252.9774  0.3934 
   00075    0.4044   -8248.0098  0.3975 
   00076    0.4324   -8205.2934  0.3959 
   00077    0.4364   -8215.0363  0.3936 
   00078    0.4128   -8231.4843  0.3963 
   00079    0.4260   -8304.1033  0.3967 
   00080    0.4136   -8302.4718  0.3937 
   00081    0.4016   -8300.9593  0.3925 
   00082    0.4052   -8317.5221  0.3947 
   00083    0.4164   -8353.9220  0.3989 
   00084    0.4052   -8363.2506  0.4000 
   00085    0.4096   -8358.9491  0.4047 
   00086    0.4312   -8321.0540  0.4041 
   00087    0.4188   -8293.7857  0.4051 
   00088    0.4156   -8314.3842  0.4120 
   00089    0.4152   -8335.7868  0.4151 
   00090    0.4196   -8341.0694  0.4111 
   00091    0.4144   -8325.2919  0.4141 
   00092    0.4192   -8365.8897  0.4131 
   00093    0.4216   -8365.7349  0.4182 
   00094    0.4232   -8350.7993  0.4096 
   00095    0.4256   -8365.0856  0.4164 
   00096    0.4292   -8368.8989  0.4135 
   00097    0.4296   -8327.3672  0.4109 
   00098    0.4100   -8311.0930  0.4163 
   00099    0.4272   -8314.3132  0.4215 
   00100    0.4136   -8328.1426  0.4262 
   00101    0.4276   -8297.9983  0.4302 
   00102    0.4112   -8293.0927  0.4335 
   00103    0.4112   -8309.1459  0.4405 
   00104    0.4252   -8302.0835  0.4399 
   00105    0.4128   -8291.1083  0.4378 
   00106    0.4368   -8305.1239  0.4370 
   00107    0.4176   -8251.2753  0.4346 
   00108    0.4340   -8241.1794  0.4331 
   00109    0.4176   -8252.8949  0.4324 
   00110    0.4468   -8199.4040  0.4240 
   00111    0.4284   -8231.0236  0.4221 
   00112    0.4316   -8305.7824  0.4261 
   00113    0.4232   -8287.2942  0.4236 
   00114    0.4064   -8302.5843  0.4317 
   00115    0.4320   -8277.1725  0.4347 
   00116    0.4264   -8283.6299  0.4348 
   00117    0.4108   -8269.2374  0.4281 
   00118    0.4108   -8246.5088  0.4244 
   00119    0.4048   -8235.6407  0.4231 
   00120    0.4204   -8238.8241  0.4232 
   00121    0.4156   -8254.9611  0.4250 
   00122    0.4240   -8260.8910  0.4222 
   00123    0.4196   -8296.6854  0.4199 
   00124    0.4304   -8325.6738  0.4214 
   00125    0.4192   -8314.8035  0.4277 
   00126    0.4236   -8331.4182  0.4278 
   00127    0.4032   -8345.4748  0.4286 
   00128    0.4216   -8338.7124  0.4299 
   00129    0.4160   -8285.0688  0.4267 
   00130    0.4232   -8288.0390  0.4255 
   00131    0.4000   -8282.3839  0.4278 
   00132    0.4120   -8278.8432  0.4240 
   00133    0.4200   -8284.0539  0.4283 
