#=====================================================
# File created:        Tue-18-Feb-2025-at-09-51-41AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.837625
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2528.4490  0.2661 
   00001    0.6848   -3733.2962  0.2744 
   00002    0.6296   -4444.0736  0.2696 
   00003    0.5852   -5128.8589  0.2766 
   00004    0.5552   -5536.1721  0.2801 
   00005    0.5268   -5862.3824  0.2901 
   00006    0.5240   -6154.8519  0.2782 
   00007    0.5144   -6341.7566  0.2884 
   00008    0.4872   -6564.9093  0.2931 
   00009    0.4884   -6748.7469  0.2998 
   00010    0.4832   -6863.3819  0.2995 
   00011    0.4820   -6999.6637  0.2908 
   00012    0.4624   -7086.5752  0.2862 
   00013    0.4660   -7223.8194  0.2915 
   00014    0.4540   -7329.7456  0.2971 
   00015    0.4672   -7364.9959  0.3050 
   00016    0.4488   -7388.2835  0.3059 
   00017    0.4536   -7437.2398  0.3062 
   00018    0.4416   -7514.8637  0.2998 
   00019    0.4632   -7600.4501  0.2946 
   00020    0.4532   -7629.9582  0.2925 
   00021    0.4444   -7673.8866  0.2923 
   00022    0.4352   -7717.9595  0.2947 
   00023    0.4448   -7734.0668  0.2964 
   00024    0.4320   -7736.9352  0.3020 
   00025    0.4364   -7818.8472  0.3109 
   00026    0.4476   -7817.6184  0.3066 
   00027    0.4276   -7851.2721  0.3109 
   00028    0.4340   -7930.0529  0.3125 
   00029    0.4304   -7887.6168  0.3069 
   00030    0.4408   -7929.2037  0.3083 
   00031    0.4320   -7932.0343  0.3163 
   00032    0.4484   -8002.2300  0.3176 
   00033    0.4220   -7989.1043  0.3207 
   00034    0.4352   -7970.5054  0.3205 
   00035    0.4316   -7990.2901  0.3323 
   00036    0.4252   -8010.5721  0.3323 
   00037    0.4372   -8040.3309  0.3322 
   00038    0.4260   -8066.4855  0.3343 
   00039    0.4376   -8061.5598  0.3390 
   00040    0.4312   -8092.9017  0.3491 
   00041    0.4344   -8106.0354  0.3483 
   00042    0.4148   -8118.1307  0.3429 
   00043    0.4268   -8104.0644  0.3480 
   00044    0.4268   -8127.0013  0.3427 
   00045    0.4280   -8123.7055  0.3504 
   00046    0.4032   -8118.4036  0.3505 
   00047    0.4364   -8146.8665  0.3497 
   00048    0.4412   -8162.0274  0.3485 
   00049    0.4232   -8200.8144  0.3487 
   00050    0.4236   -8230.8340  0.3477 
