#=====================================================
# File created:        Tue-18-Feb-2025-at-09-52-37AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.857268
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2552.7129  0.2761 
   00001    0.6700   -3783.4812  0.2711 
   00002    0.6300   -4490.2017  0.2704 
   00003    0.5972   -5084.2700  0.2793 
   00004    0.5720   -5623.7125  0.2809 
   00005    0.5252   -5920.0356  0.2931 
   00006    0.5156   -6184.8063  0.2983 
   00007    0.4940   -6411.3294  0.3060 
   00008    0.5016   -6593.5014  0.3081 
   00009    0.4880   -6746.0373  0.3118 
   00010    0.4964   -6920.0598  0.3080 
   00011    0.4780   -7027.5551  0.3077 
   00012    0.4700   -7081.0848  0.3090 
   00013    0.4744   -7151.8893  0.3061 
   00014    0.4640   -7264.9166  0.3057 
   00015    0.4724   -7339.5955  0.3066 
   00016    0.4500   -7402.7184  0.3162 
   00017    0.4500   -7452.2662  0.3194 
   00018    0.4664   -7552.9818  0.3232 
   00019    0.4472   -7628.9923  0.3238 
   00020    0.4552   -7625.0814  0.3324 
   00021    0.4480   -7630.1360  0.3303 
   00022    0.4496   -7657.9991  0.3208 
   00023    0.4356   -7662.2761  0.3277 
   00024    0.4636   -7707.9741  0.3306 
   00025    0.4348   -7723.7326  0.3228 
   00026    0.4384   -7732.9400  0.3333 
   00027    0.4524   -7723.0641  0.3359 
   00028    0.4436   -7769.7834  0.3485 
   00029    0.4492   -7805.7079  0.3519 
   00030    0.4136   -7794.1265  0.3516 
   00031    0.4548   -7820.9322  0.3483 
   00032    0.4372   -7846.8528  0.3487 
   00033    0.4272   -7881.2342  0.3537 
   00034    0.4480   -7935.2267  0.3569 
   00035    0.4372   -7949.2358  0.3658 
   00036    0.4328   -7991.0645  0.3664 
   00037    0.4336   -8005.6192  0.3764 
   00038    0.4152   -7990.8426  0.3795 
   00039    0.4208   -8002.2394  0.3794 
   00040    0.4280   -8010.1713  0.3818 
   00041    0.4308   -8043.8840  0.3887 
   00042    0.4360   -8065.9974  0.3959 
   00043    0.4348   -8049.8865  0.4040 
   00044    0.4380   -8042.9615  0.4066 
   00045    0.4208   -8023.9822  0.4025 
   00046    0.4452   -7991.2507  0.3976 
   00047    0.4248   -8030.3080  0.3965 
   00048    0.4232   -8058.9444  0.3959 
   00049    0.4388   -8052.1632  0.4028 
   00050    0.4480   -8063.2335  0.4066 
