numba_no_vectorisation.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.269, Time: 1.131530 s
         8144851 function calls (7779133 primitive calls) in 6.809 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
1785/1647    0.012    0.000    0.075    0.000 inspect.py:2470(_signature_from_callable)
        2    0.012    0.006    0.012    0.006 {built-in method _ctypes.dlopen}
      592    0.012    0.000    0.056    0.000 context.py:615(resolve_overload)
4284/2070    0.012    0.000    0.104    0.000 context.py:407(install_registry)
  625/271    0.012    0.000    0.048    0.000 _parser.py:512(_parse)
16841/15214    0.012    0.000    0.057    0.000 contextlib.py:141(__exit__)
    22217    0.011    0.000    0.140    0.000 base.py:1246(enter_fn)
    22217    0.011    0.000    0.175    0.000 base.py:1249(exit_fn)
     5534    0.011    0.000    0.069    0.000 builder.py:968(extract_value)
      710    0.011    0.000    0.093    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
16841/15189    0.011    0.000    0.115    0.000 contextlib.py:132(__enter__)
     4190    0.010    0.000    0.038    0.000 context.py:565(_rate_arguments)
    34226    0.010    0.000    0.049    0.000 templates.py:1322(new_registrations)
     1977    0.010    0.000    0.015    0.000 inspect.py:2998(__init__)
     5534    0.010    0.000    0.019    0.000 instructions.py:708(descr)
    47515    0.009    0.000    0.009    0.000 _utils.py:13(is_used)
    74324    0.009    0.000    0.009    0.000 abstract.py:96(key)
    82/69    0.009    0.000    0.020    0.000 {built-in method _imp.exec_dynamic}
     1128    0.009    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
     8372    0.009    0.000    0.087    0.000 __init__.py:280(_compile)
      885    0.009    0.000    0.012    0.000 analysis.py:91(liveness)
    29972    0.009    0.000    0.013    0.000 utils.py:484(sublist_iterator)
    17853    0.009    0.000    0.149    0.000 ir.py:611(list_vars)
4043/4014    0.009    0.000    0.051    0.000 abstract.py:61(__call__)
    10827    0.009    0.000    0.009    0.000 {method 'split' of 'str' objects}
     1042    0.009    0.000    0.024    0.000 instructions.py:68(__init__)
     1087    0.009    0.000    0.030    0.000 templates.py:887(make_overload_template)
    24183    0.009    0.000    0.009    0.000 {method 'acquire' of '_thread.RLock' objects}
     4523    0.008    0.000    0.024    0.000 types.py:84(__call__)
     5534    0.008    0.000    0.047    0.000 instructions.py:693(__init__)
     3424    0.008    0.000    0.044    0.000 base.py:352(install_registry)
    20377    0.008    0.000    0.022    0.000 {built-in method builtins.issubclass}
  190/114    0.008    0.000    2.010    0.018 lowering.py:266(lower_block)
    35510    0.008    0.000    0.008    0.000 {method 'rstrip' of 'str' objects}
      432    0.008    0.000    0.012    0.000 analysis.py:190(compute_live_variables)
    85450    0.008    0.000    0.008    0.000 targetconfig.py:38(default)
7584/7536    0.008    0.000    0.020    0.000 values.py:445(__init__)
       48    0.008    0.000    0.036    0.001 interpreter.py:986(peep_hole_delete_with_exit)
      128    0.008    0.000    0.011    0.000 {built-in method builtins.eval}
     6281    0.008    0.000    0.011    0.000 controlflow.py:383(_dfs)
     7202    0.008    0.000    0.011    0.000 typeinfer.py:899(__getitem__)
    770/1    0.008    0.000    6.813    6.813 {built-in method builtins.exec}
23392/17700    0.007    0.000    0.021    0.000 <frozen abc>:121(__subclasscheck__)
      192    0.007    0.000    0.047    0.000 compiler_machinery.py:369(dependency_analysis)
    55021    0.007    0.000    0.007    0.000 event.py:148(is_end)
    10207    0.007    0.000    0.009    0.000 registry.py:67(__getitem__)
     1542    0.007    0.000    0.023    0.000 <frozen importlib._bootstrap>:304(acquire)
      428    0.007    0.000    0.309    0.001 cpu.py:60(load_additional_registries)
      744    0.007    0.000    0.080    0.000 npydecl.py:92(generic)
     9713    0.007    0.000    0.015    0.000 target_extension.py:15(__getitem__)
     2369    0.007    0.000    0.007    0.000 {built-in method _abc._abc_init}
      624    0.007    0.000    0.011    0.000 controlflow.py:579(_find_back_edges)
     1986    0.007    0.000    0.042    0.000 context.py:286(find_matching_getattr_template)
     7513    0.007    0.000    0.035    0.000 ffi.py:334(close)
     1527    0.007    0.000    0.026    0.000 byteflow.py:324(dispatch)
     5800    0.007    0.000    0.119    0.000 module.py:220(__next__)
     1639    0.007    0.000    0.255    0.000 values.py:1172(descr)
  808/277    0.007    0.000    4.083    0.015 typeinfer.py:568(resolve)
     7122    0.007    0.000    0.033    0.000 ffi.py:377(__del__)
     2568    0.006    0.000    0.036    0.000 builder.py:769(store)
    29076    0.006    0.000    0.006    0.000 {method 'pop' of 'list' objects}
     2721    0.006    0.000    0.011    0.000 functions.py:78(add_error)
     7517    0.006    0.000    0.114    0.000 inspect.py:856(getdoc)
     3660    0.006    0.000    0.019    0.000 errors.py:488(catch_warnings)
     2369    0.006    0.000    0.047    0.000 <frozen abc>:105(__new__)
     6118    0.006    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     6640    0.006    0.000    0.016    0.000 typeconv.py:40(check_compatible)
      432    0.006    0.000    0.441    0.001 postproc.py:71(run)
     2664    0.006    0.000    0.031    0.000 event.py:422(trigger_event)
    12634    0.006    0.000    0.011    0.000 errors.py:844(new_error_context)
 1725/331    0.006    0.000    5.421    0.016 compiler_lock.py:32(_acquire_compile_lock)
    50842    0.006    0.000    0.006    0.000 event.py:108(kind)
9364/9162    0.006    0.000    0.021    0.000 {built-in method builtins.any}
      109    0.006    0.000    0.015    0.000 __init__.py:355(namedtuple)
     7556    0.006    0.000    0.017    0.000 target_extension.py:53(get_local_target)
3305/1759    0.006    0.000    3.639    0.002 templates.py:356(apply)
     2568    0.006    0.000    0.023    0.000 instructions.py:463(__init__)
