#=====================================================
# File created:        Sat-22-Feb-2025-at-11-50-38AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.056706
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2534.7182  0.2513 
   00001    0.7056   -2708.8973  0.2538 
   00002    0.7076   -2855.5055  0.2548 
   00003    0.6844   -3001.1795  0.2604 
   00004    0.6716   -3173.2488  0.2598 
   00005    0.6900   -3322.5672  0.2561 
   00006    0.6644   -3455.0177  0.2563 
   00007    0.6564   -3605.1022  0.2555 
   00008    0.6664   -3683.8458  0.2556 
   00009    0.6472   -3803.7939  0.2529 
   00010    0.6364   -3903.1079  0.2541 
   00011    0.6312   -3996.1949  0.2538 
   00012    0.6200   -4091.4249  0.2564 
   00013    0.6200   -4210.3197  0.2564 
   00014    0.6116   -4298.4498  0.2581 
   00015    0.6100   -4450.2425  0.2574 
   00016    0.6092   -4548.4612  0.2610 
   00017    0.6012   -4637.0376  0.2579 
   00018    0.5800   -4714.3228  0.2613 
   00019    0.5856   -4789.9688  0.2609 
   00020    0.5872   -4879.5364  0.2620 
   00021    0.5916   -4934.2521  0.2639 
   00022    0.5700   -5010.5898  0.2654 
   00023    0.5560   -5079.4103  0.2658 
   00024    0.5768   -5132.9100  0.2674 
   00025    0.5744   -5199.9158  0.2654 
   00026    0.5660   -5252.3012  0.2675 
   00027    0.5552   -5322.2412  0.2695 
   00028    0.5504   -5360.2479  0.2681 
   00029    0.5624   -5403.5612  0.2681 
   00030    0.5368   -5453.9437  0.2678 
   00031    0.5352   -5495.8059  0.2644 
   00032    0.5408   -5551.4292  0.2658 
   00033    0.5300   -5600.8410  0.2666 
   00034    0.5372   -5639.5136  0.2685 
   00035    0.5404   -5654.1731  0.2703 
   00036    0.5360   -5677.0648  0.2743 
   00037    0.5464   -5709.7795  0.2723 
   00038    0.5284   -5747.7128  0.2753 
   00039    0.5428   -5798.6937  0.2782 
   00040    0.5452   -5837.8449  0.2822 
   00041    0.5240   -5860.5066  0.2849 
   00042    0.5424   -5892.6909  0.2866 
   00043    0.5188   -5963.0139  0.2887 
   00044    0.5224   -5985.5651  0.2875 
   00045    0.5276   -6005.5108  0.2886 
   00046    0.5172   -6041.4993  0.2899 
   00047    0.5076   -6092.8365  0.2886 
   00048    0.5088   -6105.4732  0.2873 
   00049    0.5040   -6163.0701  0.2875 
   00050    0.4996   -6185.8929  0.2898 
