#=====================================================
# File created:        Sat-22-Feb-2025-at-11-50-39AM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.182449
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -10030.7033  0.2540 
   00001    0.7102  -10736.1426  0.2541 
   00002    0.6933  -11409.2910  0.2535 
   00003    0.6811  -12003.2723  0.2515 
   00004    0.6796  -12611.9126  0.2532 
   00005    0.6770  -13120.2823  0.2541 
   00006    0.6647  -13686.5733  0.2550 
   00007    0.6575  -14267.7408  0.2557 
   00008    0.6497  -14742.1756  0.2561 
   00009    0.6512  -15201.8532  0.2549 
   00010    0.6443  -15604.7125  0.2521 
   00011    0.6328  -15980.0875  0.2539 
   00012    0.6249  -16341.9800  0.2565 
   00013    0.6173  -16641.0362  0.2558 
   00014    0.6210  -16943.3632  0.2569 
   00015    0.6127  -17303.7728  0.2569 
   00016    0.6027  -17636.4866  0.2577 
   00017    0.6008  -17945.6573  0.2585 
   00018    0.5899  -18200.7770  0.2573 
   00019    0.5928  -18468.6298  0.2581 
   00020    0.5777  -18806.4179  0.2606 
   00021    0.5805  -19118.3151  0.2597 
   00022    0.5819  -19396.5379  0.2591 
   00023    0.5722  -19611.7029  0.2592 
   00024    0.5588  -19881.9071  0.2580 
   00025    0.5738  -20085.8937  0.2575 
   00026    0.5652  -20344.0283  0.2586 
   00027    0.5625  -20586.6862  0.2588 
   00028    0.5633  -20828.7821  0.2590 
   00029    0.5572  -20973.8616  0.2571 
   00030    0.5469  -21211.6843  0.2564 
   00031    0.5540  -21486.4621  0.2556 
   00032    0.5482  -21648.1936  0.2572 
   00033    0.5447  -21829.0176  0.2571 
   00034    0.5451  -21936.1244  0.2572 
   00035    0.5426  -22116.8378  0.2574 
   00036    0.5345  -22266.0830  0.2576 
   00037    0.5347  -22460.7805  0.2564 
   00038    0.5347  -22620.9826  0.2551 
   00039    0.5291  -22782.6617  0.2554 
   00040    0.5300  -22938.3115  0.2557 
   00041    0.5309  -23122.5972  0.2544 
   00042    0.5261  -23327.2541  0.2552 
   00043    0.5273  -23504.0934  0.2562 
   00044    0.5275  -23708.6743  0.2553 
   00045    0.5210  -23843.7520  0.2562 
   00046    0.5160  -23977.8587  0.2549 
   00047    0.5164  -24109.7459  0.2546 
   00048    0.5177  -24285.8286  0.2557 
   00049    0.5048  -24426.9237  0.2546 
   00050    0.5137  -24541.4195  0.2545 
