#=====================================================
# File created:        Tue-18-Feb-2025-at-10-31-07AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.444183
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2393.4553  0.2638 
   00001    0.6884   -3598.3669  0.2622 
   00002    0.6292   -4452.6786  0.2590 
   00003    0.5632   -5058.9586  0.2580 
   00004    0.5468   -5485.2927  0.2680 
   00005    0.5540   -5870.3195  0.2719 
   00006    0.5112   -6105.0009  0.2580 
   00007    0.4868   -6359.5881  0.2592 
   00008    0.4984   -6496.1022  0.2587 
   00009    0.4840   -6623.1751  0.2681 
   00010    0.4900   -6780.3151  0.2733 
   00011    0.4720   -6946.6546  0.2776 
   00012    0.4756   -7056.9027  0.2812 
   00013    0.4620   -7179.3622  0.2872 
   00014    0.4680   -7273.6348  0.2928 
   00015    0.4736   -7278.1269  0.2912 
   00016    0.4648   -7331.6505  0.3000 
   00017    0.4520   -7370.3448  0.3063 
   00018    0.4504   -7421.8016  0.3092 
   00019    0.4480   -7473.3684  0.3140 
   00020    0.4552   -7537.2052  0.3097 
   00021    0.4484   -7601.4467  0.3116 
   00022    0.4476   -7606.7103  0.3178 
   00023    0.4520   -7619.3136  0.3135 
   00024    0.4620   -7666.8690  0.3186 
   00025    0.4452   -7679.5742  0.3151 
   00026    0.4548   -7684.9805  0.3145 
   00027    0.4372   -7755.9375  0.3116 
   00028    0.4584   -7784.1201  0.3166 
   00029    0.4428   -7801.2646  0.3150 
   00030    0.4280   -7835.4555  0.3189 
   00031    0.4320   -7822.7193  0.3242 
   00032    0.4368   -7875.4551  0.3311 
   00033    0.4312   -7890.5782  0.3363 
   00034    0.4276   -7935.9102  0.3417 
   00035    0.4504   -7887.2579  0.3481 
   00036    0.4296   -7943.7503  0.3538 
   00037    0.4428   -7966.7716  0.3516 
   00038    0.4356   -7989.7346  0.3579 
   00039    0.4148   -7983.5591  0.3579 
   00040    0.4460   -7956.6101  0.3588 
   00041    0.4160   -7982.4410  0.3644 
   00042    0.4248   -7986.0173  0.3673 
   00043    0.4376   -7975.6690  0.3623 
   00044    0.4280   -7969.9079  0.3670 
   00045    0.4336   -8024.6014  0.3704 
   00046    0.4264   -8032.6214  0.3702 
   00047    0.4316   -8024.6604  0.3646 
   00048    0.4308   -8037.7819  0.3640 
   00049    0.4228   -8032.6057  0.3683 
   00050    0.4452   -8068.7387  0.3745 
