#=====================================================
# File created:        Tue-18-Feb-2025-at-10-38-43AM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        68.459324
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2485.9751  0.2721 
   00001    0.6860   -3741.9308  0.2859 
   00002    0.6100   -4595.0693  0.2910 
   00003    0.5696   -5179.5650  0.2856 
   00004    0.5592   -5640.7646  0.2845 
   00005    0.5320   -5954.1693  0.2758 
   00006    0.5364   -6275.7859  0.2717 
   00007    0.5144   -6465.4009  0.2732 
   00008    0.5148   -6621.8642  0.2695 
   00009    0.4824   -6808.2010  0.2658 
   00010    0.4776   -6970.0916  0.2624 
   00011    0.4680   -7130.9112  0.2659 
   00012    0.4440   -7218.8578  0.2617 
   00013    0.4588   -7356.5139  0.2624 
   00014    0.4392   -7423.3114  0.2553 
   00015    0.4592   -7481.3686  0.2536 
   00016    0.4520   -7532.1961  0.2566 
   00017    0.4536   -7584.9079  0.2551 
   00018    0.4660   -7692.8987  0.2596 
   00019    0.4584   -7691.9733  0.2661 
   00020    0.4372   -7746.3104  0.2695 
   00021    0.4348   -7771.6907  0.2748 
   00022    0.4516   -7841.0210  0.2815 
   00023    0.4344   -7851.1408  0.2849 
   00024    0.4468   -7909.3834  0.2898 
   00025    0.4396   -7883.3880  0.2972 
   00026    0.4456   -7858.0472  0.2959 
   00027    0.4272   -7849.6351  0.2911 
   00028    0.4292   -7938.9717  0.2869 
   00029    0.4244   -7942.9697  0.2843 
   00030    0.4280   -7962.1598  0.2825 
   00031    0.4360   -7981.0473  0.2847 
   00032    0.4352   -7987.2394  0.2923 
   00033    0.4272   -8049.0147  0.2935 
   00034    0.4352   -8105.6255  0.2990 
   00035    0.4408   -8140.9090  0.3019 
   00036    0.4332   -8170.0480  0.3107 
   00037    0.4200   -8150.7308  0.3098 
   00038    0.4304   -8146.7000  0.3079 
   00039    0.4300   -8134.8539  0.3145 
   00040    0.4224   -8135.9400  0.3071 
   00041    0.4228   -8125.2096  0.3161 
   00042    0.4184   -8186.0422  0.3152 
   00043    0.4084   -8129.4237  0.3094 
   00044    0.4176   -8123.3807  0.3095 
   00045    0.4264   -8160.1307  0.3033 
   00046    0.4248   -8161.4310  0.3006 
   00047    0.4264   -8117.9761  0.2974 
   00048    0.4460   -8187.0605  0.2976 
   00049    0.4296   -8221.5782  0.2962 
   00050    0.4052   -8239.1046  0.2965 
   00051    0.4340   -8265.6352  0.2959 
   00052    0.4192   -8271.2477  0.2908 
   00053    0.4188   -8292.8602  0.2919 
   00054    0.4136   -8274.5183  0.2908 
   00055    0.4124   -8263.4842  0.2934 
   00056    0.4376   -8273.9076  0.2978 
   00057    0.4044   -8263.7774  0.2998 
   00058    0.4188   -8242.7841  0.2943 
   00059    0.4284   -8279.5969  0.2921 
   00060    0.3952   -8261.8830  0.2966 
   00061    0.4084   -8237.5311  0.3032 
   00062    0.4232   -8189.2486  0.2992 
   00063    0.4176   -8273.1349  0.2996 
   00064    0.4376   -8252.7458  0.2936 
   00065    0.4208   -8273.3470  0.2940 
   00066    0.4208   -8302.5639  0.2926 
   00067    0.4240   -8287.9519  0.2945 
   00068    0.4276   -8279.0889  0.2962 
   00069    0.4132   -8219.6240  0.3005 
   00070    0.4300   -8228.5619  0.3034 
   00071    0.4284   -8231.4975  0.3066 
   00072    0.4172   -8249.8251  0.3041 
   00073    0.4332   -8252.1352  0.2995 
   00074    0.4164   -8244.8651  0.3017 
   00075    0.4196   -8275.2367  0.3060 
   00076    0.4280   -8269.6888  0.3088 
   00077    0.4368   -8293.6622  0.3105 
   00078    0.4164   -8284.2621  0.3076 
   00079    0.4144   -8237.6795  0.3085 
   00080    0.4268   -8272.7697  0.3160 
   00081    0.4180   -8291.5227  0.3184 
   00082    0.4228   -8292.3851  0.3147 
   00083    0.4116   -8302.5214  0.3121 
   00084    0.4216   -8252.7750  0.3029 
   00085    0.4060   -8263.3576  0.3005 
   00086    0.4080   -8276.1945  0.3022 
   00087    0.4112   -8265.1130  0.3087 
   00088    0.4304   -8268.2783  0.3091 
   00089    0.4208   -8272.4446  0.3038 
   00090    0.4388   -8301.4013  0.3004 
   00091    0.4468   -8265.0104  0.3070 
   00092    0.3996   -8259.8492  0.3023 
