#=====================================================
# File created:        Tue-18-Feb-2025-at-10-27-06AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.084268
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2501.9012  0.2633 
   00001    0.6752   -3669.1149  0.2814 
   00002    0.6368   -4562.8946  0.2770 
   00003    0.5672   -5061.1178  0.2734 
   00004    0.5688   -5481.8752  0.2860 
   00005    0.5372   -5763.7860  0.2816 
   00006    0.5388   -6124.8504  0.2817 
   00007    0.4908   -6294.7152  0.2852 
   00008    0.5096   -6509.1692  0.2943 
   00009    0.4964   -6664.4771  0.2967 
   00010    0.4520   -6744.8205  0.3006 
   00011    0.4604   -6862.7608  0.3016 
   00012    0.4848   -7036.9964  0.2994 
   00013    0.4536   -7135.7307  0.2952 
   00014    0.4772   -7188.2615  0.3009 
   00015    0.4632   -7286.2581  0.3018 
   00016    0.4668   -7295.2055  0.3105 
   00017    0.4876   -7393.1896  0.3151 
   00018    0.4628   -7477.3715  0.3116 
   00019    0.4424   -7501.0559  0.3097 
   00020    0.4676   -7568.1394  0.3096 
   00021    0.4596   -7589.5937  0.3105 
   00022    0.4296   -7611.5237  0.3118 
   00023    0.4424   -7624.2943  0.3153 
   00024    0.4524   -7667.4163  0.3174 
   00025    0.4384   -7670.6931  0.3099 
   00026    0.4444   -7778.0857  0.3146 
   00027    0.4272   -7735.0146  0.3098 
   00028    0.4684   -7763.9780  0.3122 
   00029    0.4400   -7818.5343  0.3177 
   00030    0.4448   -7810.6432  0.3215 
   00031    0.4348   -7898.0396  0.3303 
   00032    0.4492   -7935.2706  0.3312 
   00033    0.4456   -7924.5511  0.3334 
   00034    0.4412   -7910.4561  0.3254 
   00035    0.4480   -7985.9615  0.3344 
   00036    0.4148   -7977.8151  0.3355 
   00037    0.4276   -8027.3564  0.3342 
   00038    0.4316   -7955.0491  0.3318 
   00039    0.4220   -7978.4297  0.3376 
   00040    0.4408   -7981.6075  0.3392 
   00041    0.4496   -8008.3535  0.3434 
   00042    0.4208   -8014.3240  0.3406 
   00043    0.4196   -7975.3518  0.3402 
   00044    0.4312   -7971.1894  0.3424 
   00045    0.4284   -7989.8642  0.3416 
   00046    0.4476   -7984.7592  0.3418 
   00047    0.4272   -7979.1189  0.3483 
   00048    0.4476   -8005.0340  0.3496 
   00049    0.4376   -8013.3467  0.3436 
   00050    0.4356   -8055.1186  0.3477 
