#=====================================================
# File created:        Tue-18-Feb-2025-at-10-25-58AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.082752
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2443.2817  0.2661 
   00001    0.6904   -3618.9029  0.2674 
   00002    0.6204   -4372.0357  0.2794 
   00003    0.5956   -4957.8796  0.2896 
   00004    0.5492   -5431.7180  0.2937 
   00005    0.5440   -5831.4988  0.2904 
   00006    0.5336   -6161.4764  0.3054 
   00007    0.5008   -6366.4267  0.3016 
   00008    0.5004   -6555.9895  0.3043 
   00009    0.4940   -6765.4236  0.3065 
   00010    0.4716   -6909.0051  0.3032 
   00011    0.4748   -7044.5713  0.3013 
   00012    0.4732   -7144.9362  0.3063 
   00013    0.4580   -7253.6792  0.3070 
   00014    0.4580   -7313.1985  0.3066 
   00015    0.4556   -7444.3388  0.3084 
   00016    0.4484   -7463.3755  0.3122 
   00017    0.4480   -7493.5126  0.3110 
   00018    0.4508   -7476.8736  0.3064 
   00019    0.4524   -7519.9864  0.3095 
   00020    0.4396   -7563.3355  0.3046 
   00021    0.4592   -7612.6387  0.3137 
   00022    0.4580   -7635.6331  0.3210 
   00023    0.4460   -7662.8240  0.3205 
   00024    0.4256   -7660.5840  0.3254 
   00025    0.4572   -7682.4623  0.3258 
   00026    0.4476   -7766.6193  0.3276 
   00027    0.4428   -7768.8738  0.3222 
   00028    0.4592   -7804.6763  0.3234 
   00029    0.4532   -7824.0841  0.3217 
   00030    0.4540   -7849.3108  0.3181 
   00031    0.4224   -7859.5569  0.3200 
   00032    0.4396   -7899.5810  0.3222 
   00033    0.4460   -7954.6721  0.3214 
   00034    0.4328   -7910.8431  0.3250 
   00035    0.4168   -7906.4460  0.3214 
   00036    0.4312   -7942.7291  0.3265 
   00037    0.4200   -7969.8556  0.3306 
   00038    0.4212   -7942.7145  0.3333 
   00039    0.4152   -7992.1960  0.3377 
   00040    0.4280   -7971.9549  0.3359 
   00041    0.4524   -7972.9339  0.3307 
   00042    0.4156   -8022.0134  0.3351 
   00043    0.4316   -8093.1893  0.3326 
   00044    0.4328   -8088.0061  0.3357 
   00045    0.4440   -8050.4571  0.3365 
   00046    0.4328   -8082.0689  0.3391 
   00047    0.4252   -8064.8695  0.3415 
   00048    0.4160   -8065.3163  0.3428 
   00049    0.4328   -8083.9034  0.3403 
   00050    0.4240   -8066.1234  0.3317 
