#=====================================================
# File created:        Thu-20-Feb-2025-at-01-20-48PM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        2.082497
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2570.1882  0.2784 
   00001    0.6872   -3768.5290  0.2861 
   00002    0.6092   -4537.7515  0.2817 
   00003    0.5816   -5190.9543  0.2788 
   00004    0.5544   -5558.7318  0.2775 
   00005    0.5344   -5914.7870  0.2793 
   00006    0.5136   -6212.5534  0.2870 
   00007    0.5136   -6377.4584  0.2934 
   00008    0.4840   -6572.1237  0.3006 
   00009    0.4808   -6720.6753  0.3042 
   00010    0.4888   -6887.6096  0.3055 
   00011    0.4904   -7011.2539  0.3100 
   00012    0.4644   -7175.8132  0.3139 
   00013    0.4636   -7260.7188  0.3190 
   00014    0.4632   -7349.9488  0.3245 
   00015    0.4528   -7422.7283  0.3244 
   00016    0.4448   -7495.7387  0.3243 
   00017    0.4420   -7523.3723  0.3278 
   00018    0.4576   -7526.0122  0.3340 
   00019    0.4396   -7562.1319  0.3297 
   00020    0.4420   -7613.1004  0.3352 
   00021    0.4644   -7686.8339  0.3353 
   00022    0.4532   -7693.4871  0.3353 
   00023    0.4556   -7717.4521  0.3411 
   00024    0.4484   -7788.3940  0.3485 
   00025    0.4192   -7810.2967  0.3542 
   00026    0.4512   -7837.1073  0.3593 
   00027    0.4348   -7888.2123  0.3697 
   00028    0.4460   -7898.7612  0.3764 
   00029    0.4284   -7934.0982  0.3883 
   00030    0.4396   -7912.4499  0.3847 
   00031    0.4420   -7943.6653  0.3930 
   00032    0.4224   -7934.7277  0.3887 
   00033    0.4192   -7938.6256  0.3891 
   00034    0.4248   -7975.6357  0.3918 
   00035    0.4412   -8001.0017  0.4006 
   00036    0.4476   -7975.8430  0.4040 
   00037    0.4340   -7987.2199  0.4048 
   00038    0.4220   -7924.9201  0.4122 
   00039    0.4344   -7891.7712  0.4110 
   00040    0.4296   -7937.2364  0.4101 
   00041    0.4356   -7946.9382  0.4114 
   00042    0.4328   -8015.5860  0.4190 
   00043    0.4280   -8018.3799  0.4205 
   00044    0.4432   -8046.4440  0.4170 
   00045    0.4312   -8068.3721  0.4201 
   00046    0.4216   -8088.2437  0.4247 
   00047    0.4168   -8101.4555  0.4279 
   00048    0.4336   -8093.0848  0.4305 
   00049    0.4264   -8100.8201  0.4267 
   00050    0.4172   -8105.6133  0.4270 
   00051    0.4480   -8157.4550  0.4239 
   00052    0.4252   -8115.3636  0.4230 
   00053    0.4260   -8157.7683  0.4279 
   00054    0.4232   -8149.0386  0.4285 
   00055    0.4264   -8106.9981  0.4278 
   00056    0.4292   -8118.2937  0.4297 
   00057    0.4172   -8115.6815  0.4297 
   00058    0.4420   -8144.3883  0.4285 
   00059    0.4216   -8127.8464  0.4232 
   00060    0.4124   -8165.0900  0.4259 
