#=====================================================
# File created:        Thu-20-Feb-2025-at-01-22-17PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.107917
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2512.5804  0.2629 
   00001    0.6768   -3676.2069  0.2690 
   00002    0.6280   -4500.1709  0.2648 
   00003    0.5892   -5067.4699  0.2695 
   00004    0.5404   -5541.6526  0.2701 
   00005    0.5480   -5912.3695  0.2750 
   00006    0.4960   -6207.9494  0.2773 
   00007    0.5044   -6410.4803  0.2838 
   00008    0.4868   -6552.5283  0.2867 
   00009    0.4844   -6713.2882  0.2995 
   00010    0.4900   -6830.9810  0.3043 
   00011    0.4644   -6921.1326  0.3132 
   00012    0.4584   -7018.1944  0.3148 
   00013    0.4704   -7133.6189  0.3126 
   00014    0.4620   -7203.0851  0.3054 
   00015    0.4648   -7261.5336  0.2987 
   00016    0.4488   -7353.7938  0.3042 
   00017    0.4488   -7406.4107  0.3051 
   00018    0.4692   -7481.6523  0.3058 
   00019    0.4640   -7554.5528  0.3071 
   00020    0.4520   -7617.6743  0.3071 
   00021    0.4464   -7620.6739  0.3103 
   00022    0.4504   -7662.4295  0.3200 
   00023    0.4432   -7664.1958  0.3239 
   00024    0.4328   -7690.8736  0.3261 
   00025    0.4532   -7766.1268  0.3317 
   00026    0.4552   -7783.1614  0.3367 
   00027    0.4316   -7831.8221  0.3410 
   00028    0.4540   -7887.1839  0.3376 
   00029    0.4412   -7893.8700  0.3341 
   00030    0.4508   -7896.1437  0.3350 
   00031    0.4268   -7898.3601  0.3366 
   00032    0.4392   -7907.8797  0.3424 
   00033    0.4464   -7949.5415  0.3386 
   00034    0.4412   -7965.0332  0.3491 
   00035    0.4524   -7995.6527  0.3478 
   00036    0.4228   -7990.1150  0.3531 
   00037    0.4476   -8020.1685  0.3499 
   00038    0.4328   -8036.9429  0.3444 
   00039    0.4404   -8068.1065  0.3401 
   00040    0.4468   -8066.5440  0.3410 
   00041    0.4208   -8031.1037  0.3381 
   00042    0.4488   -8025.3979  0.3408 
   00043    0.4380   -8055.2440  0.3430 
   00044    0.4408   -8072.7425  0.3445 
   00045    0.4364   -8081.5322  0.3430 
   00046    0.4396   -8111.6106  0.3518 
   00047    0.4112   -8131.1352  0.3554 
   00048    0.4128   -8156.9775  0.3528 
   00049    0.4216   -8106.4300  0.3519 
   00050    0.4132   -8129.6011  0.3514 
