numpy_vectorised_get_order.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.321, Time: 3.492857 s
         1539123 function calls (1523651 primitive calls) in 4.375 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3261    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      435    0.004    0.000    0.007    0.000 enum.py:254(__set_name__)
     6533    0.004    0.000    0.007    0.000 enum.py:726(__call__)
    318/1    0.004    0.000    4.377    4.377 {built-in method builtins.exec}
      367    0.003    0.000    0.040    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
    11361    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
       51    0.003    0.000    0.005    0.000 numeric.py:932(tensordot)
      756    0.003    0.000    0.006    0.000 functools.py:35(update_wrapper)
     7661    0.003    0.000    0.004    0.000 _parser.py:168(__getitem__)
      303    0.003    0.000    0.091    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
    10182    0.003    0.000    0.003    0.000 {method 'pop' of 'list' objects}
    373/3    0.003    0.000    0.861    0.287 <frozen importlib._bootstrap>:1349(_find_and_load)
     4311    0.003    0.000    0.003    0.000 {built-in method builtins.sorted}
       39    0.003    0.000    0.003    0.000 {built-in method posix.listdir}
 1692/190    0.002    0.000    0.003    0.000 {built-in method _abc._abc_subclasscheck}
      606    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
       38    0.002    0.000    0.006    0.000 __init__.py:355(namedtuple)
      335    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
 1266/411    0.002    0.000    0.003    0.000 _parser.py:178(getwidth)
      253    0.002    0.000    0.002    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      537    0.002    0.000    0.004    0.000 enum.py:390(__setitem__)
      798    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:372(release)
      798    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:124(setdefault)
     2679    0.002    0.000    0.004    0.000 cbook.py:405(_strip_comment)
       67    0.002    0.000    0.002    0.000 colors.py:1101(reversed)
     6530    0.002    0.000    0.002    0.000 enum.py:1129(__new__)
     5930    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
     9364    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
      798    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
       41    0.002    0.000    1.092    0.027 __init__.py:1(<module>)
       51    0.002    0.000    0.002    0.000 shape_base.py:372(stack)
     5745    0.002    0.000    0.003    0.000 {built-in method builtins.setattr}
     5185    0.002    0.000    0.003    0.000 _parser.py:261(get)
    369/3    0.002    0.000    0.860    0.287 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      147    0.002    0.000    0.003    0.000 _compiler.py:243(_optimize_charset)
       78    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
     6298    0.002    0.000    0.002    0.000 _parser.py:240(__next)
       24    0.002    0.000    0.003    0.000 util.py:208(_collapse_string_to_ranges)
     6502    0.002    0.000    0.002    0.000 {method 'isidentifier' of 'str' objects}
 1692/190    0.002    0.000    0.004    0.000 <frozen abc>:121(__subclasscheck__)
        3    0.002    0.001    0.046    0.015 core.py:1(<module>)
     5486    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
  438/210    0.001    0.000    0.027    0.000 _parser.py:452(_parse_sub)
      354    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
    354/4    0.001    0.000    0.860    0.215 <frozen importlib._bootstrap>:911(_load_unlocked)
