numba_parallel.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.377, Time: 0.029685 s
         1743071 function calls (1714811 primitive calls) in 1.440 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1087    0.003    0.000    0.048    0.000 extending.py:129(decorate)
24457/23987    0.003    0.000    0.004    0.000 {built-in method builtins.hash}
     9431    0.003    0.000    0.005    0.000 _parser.py:168(__getitem__)
    16247    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
      809    0.003    0.000    0.017    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     2253    0.003    0.000    0.009    0.000 abstract.py:49(_intern)
       87    0.003    0.000    1.694    0.019 __init__.py:1(<module>)
   809/47    0.003    0.000    1.246    0.027 <frozen importlib._bootstrap>:911(_load_unlocked)
    11768    0.003    0.000    0.003    0.000 {method 'pop' of 'list' objects}
      787    0.003    0.000    0.006    0.000 enum.py:390(__setitem__)
      253    0.003    0.000    0.004    0.000 _compiler.py:243(_optimize_charset)
      802    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
     4652    0.003    0.000    0.003    0.000 {built-in method builtins.sorted}
    17558    0.003    0.000    0.003    0.000 {built-in method builtins.iter}
      718    0.002    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      831    0.002    0.000    0.058    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
     1565    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap>:162(__enter__)
     4256    0.002    0.000    0.008    0.000 event.py:209(broadcast)
     1436    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
    25651    0.002    0.000    0.002    0.000 abstract.py:96(key)
 1585/515    0.002    0.000    0.003    0.000 _parser.py:178(getwidth)
     2128    0.002    0.000    0.008    0.000 event.py:390(start_event)
     2128    0.002    0.000    0.009    0.000 event.py:404(end_event)
     4524    0.002    0.000    0.004    0.000 {built-in method builtins.max}
     3620    0.002    0.000    0.006    0.000 event.py:243(notify)
     7029    0.002    0.000    0.004    0.000 _parser.py:261(get)
      114    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
  2048/58    0.002    0.000    1.248    0.022 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     5595    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
     2487    0.002    0.000    0.005    0.000 target_extension.py:53(get_local_target)
     1565    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:74(__new__)
     7934    0.002    0.000    0.002    0.000 enum.py:1129(__new__)
     6713    0.002    0.000    0.004    0.000 {method 'add' of 'set' objects}
     2911    0.002    0.000    0.008    0.000 castgraph.py:39(insert)
     8679    0.002    0.000    0.002    0.000 _parser.py:240(__next)
