#=====================================================
# File created:        Tue-18-Feb-2025-at-10-53-07AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.133382
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2533.3017  0.2724 
   00001    0.6888   -3666.5762  0.2757 
   00002    0.6392   -4480.4935  0.2820 
   00003    0.5836   -5068.8194  0.2836 
   00004    0.5752   -5568.9144  0.2905 
   00005    0.5220   -6001.9918  0.3036 
   00006    0.5068   -6247.1783  0.3039 
   00007    0.4940   -6454.7278  0.3035 
   00008    0.4832   -6685.1826  0.2992 
   00009    0.4864   -6878.2055  0.2950 
   00010    0.4856   -6952.9031  0.2987 
   00011    0.4832   -7102.1049  0.3072 
   00012    0.4856   -7202.8419  0.3063 
   00013    0.4636   -7263.6740  0.3092 
   00014    0.4612   -7273.4105  0.3062 
   00015    0.4572   -7348.6395  0.3021 
   00016    0.4544   -7409.8906  0.3028 
   00017    0.4624   -7505.6219  0.3077 
   00018    0.4600   -7562.4124  0.3086 
   00019    0.4248   -7581.9331  0.2997 
   00020    0.4420   -7621.6250  0.3018 
   00021    0.4384   -7697.7955  0.3087 
   00022    0.4284   -7682.1943  0.3126 
   00023    0.4528   -7702.2992  0.3110 
   00024    0.4312   -7718.3092  0.2975 
   00025    0.4360   -7760.8740  0.2950 
   00026    0.4540   -7806.8414  0.2966 
   00027    0.4404   -7862.7674  0.2979 
   00028    0.4480   -7891.0142  0.3031 
   00029    0.4440   -7887.0005  0.3075 
   00030    0.4348   -7888.1295  0.3052 
   00031    0.4408   -7908.6846  0.3109 
   00032    0.4156   -7904.8264  0.3049 
   00033    0.4404   -7971.6809  0.3088 
   00034    0.4120   -8014.4812  0.3090 
   00035    0.4228   -8041.0651  0.3133 
   00036    0.4264   -8039.8836  0.3115 
   00037    0.4348   -8033.4689  0.3058 
   00038    0.4320   -8077.4393  0.3123 
   00039    0.4212   -8089.2788  0.3110 
   00040    0.4116   -8062.7106  0.3137 
   00041    0.4196   -8105.1889  0.3215 
   00042    0.4284   -8134.5180  0.3232 
   00043    0.4268   -8136.0169  0.3249 
   00044    0.4248   -8119.5876  0.3244 
   00045    0.4136   -8131.5700  0.3257 
   00046    0.4344   -8131.4060  0.3250 
   00047    0.4280   -8116.2170  0.3207 
   00048    0.4184   -8127.5571  0.3235 
   00049    0.4368   -8113.4254  0.3230 
   00050    0.4208   -8146.5006  0.3287 
