#=====================================================
# File created:        Tue-18-Feb-2025-at-10-55-08AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.359681
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2379.4479  0.2594 
   00001    0.6996   -3620.2027  0.2672 
   00002    0.6312   -4455.4889  0.2683 
   00003    0.5876   -5007.1804  0.2692 
   00004    0.5700   -5437.4996  0.2623 
   00005    0.5316   -5759.5990  0.2786 
   00006    0.5356   -6031.4867  0.2828 
   00007    0.5032   -6250.4034  0.2795 
   00008    0.5092   -6461.3623  0.2854 
   00009    0.5056   -6645.7634  0.2995 
   00010    0.4868   -6828.9611  0.2965 
   00011    0.4688   -6965.2398  0.3033 
   00012    0.4492   -7087.8620  0.3029 
   00013    0.4716   -7200.2970  0.3010 
   00014    0.4604   -7309.8265  0.2972 
   00015    0.4624   -7385.7746  0.2970 
   00016    0.4504   -7435.2725  0.2979 
   00017    0.4432   -7462.1858  0.3029 
   00018    0.4488   -7558.8940  0.3014 
   00019    0.4552   -7571.7043  0.3049 
   00020    0.4364   -7552.1119  0.2995 
   00021    0.4488   -7582.9208  0.3060 
   00022    0.4480   -7631.1038  0.2969 
   00023    0.4572   -7703.1605  0.2977 
   00024    0.4456   -7723.3479  0.2989 
   00025    0.4540   -7773.5917  0.3059 
   00026    0.4376   -7767.5913  0.2995 
   00027    0.4568   -7811.5817  0.3004 
   00028    0.4384   -7838.5291  0.2990 
   00029    0.4332   -7928.9060  0.2986 
   00030    0.4272   -7918.8283  0.2925 
   00031    0.4372   -7938.6356  0.2968 
   00032    0.4332   -7917.0020  0.2947 
   00033    0.4252   -7887.5998  0.2999 
   00034    0.4148   -7938.9484  0.3032 
   00035    0.4200   -7933.1051  0.2952 
   00036    0.4420   -7898.5326  0.2903 
   00037    0.4380   -7943.6075  0.2953 
   00038    0.4352   -7960.3356  0.2965 
   00039    0.4384   -7971.5756  0.2976 
   00040    0.4352   -7979.8582  0.2911 
   00041    0.4232   -7975.4498  0.2871 
   00042    0.4420   -7957.7303  0.2841 
   00043    0.4336   -7926.1713  0.2774 
   00044    0.4352   -7952.0247  0.2774 
   00045    0.4360   -7978.7127  0.2835 
   00046    0.4236   -7973.6396  0.2765 
   00047    0.4180   -7947.7292  0.2754 
   00048    0.4288   -7991.5965  0.2728 
   00049    0.4388   -8012.5619  0.2729 
   00050    0.4368   -8034.8134  0.2724 
