#=====================================================
# File created:        Tue-18-Feb-2025-at-06-01-09PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.725688
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2497.2022  0.2698 
   00001    0.6860   -3716.1209  0.2722 
   00002    0.6252   -4458.4554  0.2876 
   00003    0.6008   -5089.1338  0.2921 
   00004    0.5564   -5566.6011  0.3015 
   00005    0.5332   -5898.1130  0.3039 
   00006    0.5168   -6169.7937  0.3105 
   00007    0.5100   -6417.1785  0.3137 
   00008    0.4940   -6556.5970  0.3156 
   00009    0.4784   -6710.8591  0.3307 
   00010    0.4724   -6807.4409  0.3347 
   00011    0.4912   -6930.1802  0.3337 
   00012    0.4680   -7061.3121  0.3362 
   00013    0.4780   -7243.5393  0.3374 
   00014    0.4628   -7357.7050  0.3401 
   00015    0.4636   -7398.8134  0.3392 
   00016    0.4456   -7456.8960  0.3402 
   00017    0.4544   -7509.4850  0.3453 
   00018    0.4756   -7566.9667  0.3436 
   00019    0.4424   -7619.6014  0.3535 
   00020    0.4372   -7684.1758  0.3567 
   00021    0.4376   -7715.5522  0.3630 
   00022    0.4576   -7705.6376  0.3708 
   00023    0.4284   -7743.4509  0.3761 
   00024    0.4408   -7796.5462  0.3860 
   00025    0.4360   -7848.1635  0.3834 
   00026    0.4420   -7876.3002  0.3864 
   00027    0.4424   -7874.4377  0.3886 
   00028    0.4488   -7853.0661  0.3883 
   00029    0.4376   -7801.2999  0.3857 
   00030    0.4532   -7820.9337  0.3879 
   00031    0.4564   -7872.3051  0.3853 
   00032    0.4264   -7878.3158  0.3805 
   00033    0.4288   -7873.4405  0.3852 
   00034    0.4236   -7858.7496  0.3871 
   00035    0.4456   -7942.6028  0.3897 
   00036    0.4324   -7962.4864  0.3929 
   00037    0.4260   -7929.0831  0.3911 
   00038    0.4436   -7896.0959  0.3927 
   00039    0.4344   -7934.7945  0.3895 
   00040    0.4384   -7949.2251  0.3944 
   00041    0.4324   -7968.7047  0.3942 
   00042    0.4208   -7999.0914  0.4019 
   00043    0.4248   -8027.8609  0.3994 
   00044    0.4392   -8020.4604  0.3988 
   00045    0.4292   -8039.2482  0.4019 
   00046    0.4228   -8076.3134  0.4003 
   00047    0.4304   -8088.3778  0.3964 
   00048    0.4160   -8079.7485  0.3982 
   00049    0.4248   -8050.7049  0.3968 
   00050    0.4112   -8057.1711  0.3993 
