#=====================================================
# File created:        Tue-18-Feb-2025-at-06-02-11PM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        2.001494
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2438.6579  0.2710 
   00001    0.6868   -3665.9363  0.2776 
   00002    0.6292   -4453.0132  0.2834 
   00003    0.5904   -5045.2320  0.2825 
   00004    0.5464   -5488.1123  0.2839 
   00005    0.5348   -5949.3357  0.2836 
   00006    0.5112   -6149.0556  0.2803 
   00007    0.5172   -6463.7202  0.2804 
   00008    0.4956   -6673.8110  0.2737 
   00009    0.4944   -6823.3226  0.2772 
   00010    0.4652   -6934.5629  0.2813 
   00011    0.4676   -7039.6230  0.2833 
   00012    0.4748   -7166.6054  0.2854 
   00013    0.4576   -7299.9451  0.2868 
   00014    0.4620   -7405.4180  0.2872 
   00015    0.4468   -7514.4568  0.2931 
   00016    0.4448   -7554.7374  0.2961 
   00017    0.4624   -7623.7523  0.3026 
   00018    0.4556   -7679.9215  0.2986 
   00019    0.4392   -7659.5865  0.2991 
   00020    0.4588   -7750.0442  0.2986 
   00021    0.4516   -7799.0503  0.3018 
   00022    0.4368   -7805.4850  0.3060 
   00023    0.4380   -7801.2321  0.3053 
   00024    0.4428   -7820.7090  0.3152 
   00025    0.4476   -7795.1054  0.3161 
   00026    0.4560   -7851.0297  0.3133 
   00027    0.4320   -7866.2022  0.3124 
   00028    0.4240   -7890.0298  0.3202 
   00029    0.4304   -7914.9528  0.3199 
   00030    0.4280   -7957.8582  0.3139 
   00031    0.4252   -7975.3621  0.3190 
   00032    0.4284   -7974.0149  0.3219 
   00033    0.4304   -8000.6101  0.3219 
   00034    0.4388   -8018.7274  0.3190 
   00035    0.4220   -8064.7873  0.3263 
   00036    0.4184   -8070.6412  0.3249 
   00037    0.4216   -8090.7249  0.3292 
   00038    0.4456   -8102.7581  0.3280 
   00039    0.4268   -8144.1084  0.3332 
   00040    0.4212   -8176.9139  0.3285 
   00041    0.4268   -8177.8419  0.3307 
   00042    0.4300   -8200.4508  0.3328 
   00043    0.4172   -8183.7937  0.3353 
   00044    0.4216   -8168.8950  0.3335 
   00045    0.4232   -8175.8359  0.3289 
   00046    0.4324   -8185.3744  0.3367 
   00047    0.4228   -8156.1171  0.3427 
   00048    0.4284   -8165.0948  0.3348 
   00049    0.4428   -8173.9333  0.3355 
   00050    0.4320   -8168.8744  0.3389 
   00051    0.4196   -8126.9803  0.3419 
   00052    0.4252   -8145.0045  0.3459 
   00053    0.4140   -8151.6892  0.3502 
   00054    0.4196   -8140.1926  0.3511 
