#=====================================================
# File created:        Tue-18-Feb-2025-at-06-07-06PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.070983
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2487.3951  0.2637 
   00001    0.6872   -3676.9257  0.2730 
   00002    0.6288   -4478.3707  0.2748 
   00003    0.5896   -5056.6600  0.2906 
   00004    0.5660   -5478.5593  0.2954 
   00005    0.5444   -5823.7598  0.2985 
   00006    0.5092   -6107.4933  0.3055 
   00007    0.5300   -6292.7032  0.3076 
   00008    0.5164   -6520.0257  0.3075 
   00009    0.4956   -6656.9429  0.3057 
   00010    0.4884   -6818.1932  0.3111 
   00011    0.5020   -6947.4983  0.3047 
   00012    0.4568   -7037.7982  0.3072 
   00013    0.4600   -7118.7301  0.3110 
   00014    0.4716   -7224.9177  0.3047 
   00015    0.4664   -7238.9206  0.3071 
   00016    0.4624   -7375.5467  0.3076 
   00017    0.4700   -7444.1413  0.3172 
   00018    0.4384   -7498.6057  0.3228 
   00019    0.4548   -7539.4757  0.3347 
   00020    0.4508   -7582.7750  0.3405 
   00021    0.4496   -7634.3070  0.3349 
   00022    0.4444   -7630.9976  0.3391 
   00023    0.4408   -7654.9366  0.3387 
   00024    0.4580   -7757.9926  0.3455 
   00025    0.4224   -7726.9362  0.3504 
   00026    0.4292   -7783.5873  0.3492 
   00027    0.4524   -7765.2837  0.3543 
   00028    0.4560   -7747.3998  0.3468 
   00029    0.4384   -7762.4473  0.3497 
   00030    0.4544   -7752.4944  0.3464 
   00031    0.4336   -7739.9368  0.3441 
   00032    0.4364   -7725.4401  0.3408 
   00033    0.4480   -7742.7109  0.3386 
   00034    0.4604   -7759.4893  0.3445 
   00035    0.4456   -7761.1443  0.3428 
   00036    0.4400   -7786.6608  0.3487 
   00037    0.4508   -7861.9390  0.3518 
   00038    0.4216   -7908.8716  0.3554 
   00039    0.4480   -7890.8490  0.3529 
   00040    0.4244   -7913.7393  0.3521 
   00041    0.4400   -7967.4401  0.3501 
   00042    0.4364   -7942.2921  0.3421 
   00043    0.4204   -7974.8824  0.3442 
   00044    0.4296   -7976.9132  0.3411 
   00045    0.4380   -7961.0933  0.3416 
   00046    0.4376   -7976.1790  0.3412 
   00047    0.4400   -7986.1425  0.3466 
   00048    0.4500   -8002.3336  0.3438 
   00049    0.4320   -7991.7724  0.3503 
   00050    0.4168   -7985.5264  0.3488 
