#=====================================================
# File created:        Tue-18-Feb-2025-at-05-55-23PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.735146
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2464.1566  0.2717 
   00001    0.6888   -3794.4610  0.2793 
   00002    0.6100   -4545.1393  0.2806 
   00003    0.5724   -5174.5331  0.2884 
   00004    0.5484   -5655.6572  0.2895 
   00005    0.5452   -5975.8131  0.2953 
   00006    0.4900   -6194.0847  0.2885 
   00007    0.5076   -6431.2731  0.2954 
   00008    0.4860   -6611.1290  0.3030 
   00009    0.4720   -6783.8477  0.2963 
   00010    0.4876   -6895.9732  0.3077 
   00011    0.4804   -6973.1953  0.3047 
   00012    0.4684   -7020.5541  0.3051 
   00013    0.4736   -7156.1946  0.3096 
   00014    0.4600   -7230.4672  0.3156 
   00015    0.4612   -7328.0662  0.3190 
   00016    0.4440   -7381.6235  0.3246 
   00017    0.4612   -7416.1015  0.3195 
   00018    0.4464   -7454.1332  0.3146 
   00019    0.4524   -7455.3266  0.3161 
   00020    0.4504   -7525.1260  0.3140 
   00021    0.4544   -7512.4408  0.3171 
   00022    0.4648   -7562.9028  0.3243 
   00023    0.4464   -7674.1221  0.3280 
   00024    0.4232   -7695.9728  0.3336 
   00025    0.4256   -7697.2416  0.3372 
   00026    0.4340   -7733.6581  0.3431 
   00027    0.4388   -7719.8627  0.3496 
   00028    0.4516   -7771.2226  0.3534 
   00029    0.4488   -7790.7414  0.3590 
   00030    0.4532   -7814.2772  0.3644 
   00031    0.4536   -7821.1709  0.3603 
   00032    0.4420   -7852.8415  0.3673 
   00033    0.4456   -7931.1705  0.3715 
   00034    0.4300   -7967.7093  0.3805 
   00035    0.4416   -8000.3792  0.3795 
   00036    0.4340   -8031.6186  0.3833 
   00037    0.4416   -8001.9971  0.3813 
   00038    0.4360   -7986.2776  0.3742 
   00039    0.4360   -7974.6101  0.3750 
   00040    0.4388   -7999.4043  0.3854 
   00041    0.4384   -8032.9949  0.3848 
   00042    0.4108   -8053.1488  0.3908 
   00043    0.4200   -8042.3931  0.3876 
   00044    0.4260   -8086.8925  0.3914 
   00045    0.4212   -8115.7085  0.4004 
   00046    0.4120   -8110.5838  0.4053 
   00047    0.4296   -8066.9065  0.4036 
   00048    0.4140   -8078.0672  0.4020 
   00049    0.4252   -8034.6939  0.4056 
   00050    0.4320   -8056.6021  0.4065 
