#=====================================================
# File created:        Tue-18-Feb-2025-at-06-09-06PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.071071
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2560.1306  0.2643 
   00001    0.6712   -3687.6471  0.2595 
   00002    0.6288   -4440.8650  0.2795 
   00003    0.5984   -4952.1471  0.2880 
   00004    0.5832   -5389.9311  0.2834 
   00005    0.5396   -5681.6912  0.2913 
   00006    0.5360   -5961.1387  0.3033 
   00007    0.5112   -6204.6689  0.3166 
   00008    0.5016   -6481.4703  0.3199 
   00009    0.5024   -6694.0054  0.3245 
   00010    0.4760   -6841.9020  0.3282 
   00011    0.4528   -6968.8175  0.3373 
   00012    0.4872   -7121.6599  0.3476 
   00013    0.4680   -7154.4864  0.3488 
   00014    0.4536   -7227.8775  0.3516 
   00015    0.4636   -7342.1930  0.3468 
   00016    0.4456   -7383.0924  0.3557 
   00017    0.4600   -7412.3929  0.3540 
   00018    0.4492   -7462.2736  0.3572 
   00019    0.4532   -7556.8423  0.3636 
   00020    0.4380   -7593.1049  0.3660 
   00021    0.4564   -7634.2348  0.3682 
   00022    0.4316   -7634.0305  0.3681 
   00023    0.4528   -7670.1194  0.3731 
   00024    0.4456   -7725.2122  0.3772 
   00025    0.4368   -7733.9235  0.3768 
   00026    0.4376   -7806.8148  0.3716 
   00027    0.4552   -7805.9443  0.3725 
   00028    0.4284   -7838.0725  0.3763 
   00029    0.4240   -7861.1924  0.3867 
   00030    0.4336   -7915.9860  0.3871 
   00031    0.4192   -7946.9003  0.3901 
   00032    0.4236   -7999.7997  0.3942 
   00033    0.4368   -8029.7592  0.3948 
   00034    0.4148   -8045.6431  0.3998 
   00035    0.4204   -8035.4424  0.4014 
   00036    0.4140   -8052.9275  0.3987 
   00037    0.4152   -8000.9197  0.3977 
   00038    0.4320   -8006.7277  0.4038 
   00039    0.4268   -8038.1016  0.4085 
   00040    0.4440   -8043.0462  0.4160 
   00041    0.4324   -8062.9767  0.4150 
   00042    0.4244   -8099.0511  0.4155 
   00043    0.4168   -8125.1008  0.4068 
   00044    0.4244   -8098.5150  0.4016 
   00045    0.4368   -8095.2032  0.4056 
   00046    0.4496   -8099.0486  0.4057 
   00047    0.4424   -8137.1107  0.4066 
   00048    0.4416   -8170.2849  0.4148 
   00049    0.4216   -8171.2402  0.4221 
   00050    0.4308   -8174.8348  0.4269 
