#=====================================================
# File created:        Tue-18-Feb-2025-at-06-19-34PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.323864
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2689.5125  0.2612 
   00001    0.6800   -3919.4544  0.2705 
   00002    0.6228   -4721.9774  0.2786 
   00003    0.5792   -5269.2535  0.2771 
   00004    0.5228   -5653.3825  0.2809 
   00005    0.5272   -5998.8783  0.2880 
   00006    0.5080   -6230.7752  0.2900 
   00007    0.5084   -6469.8781  0.3079 
   00008    0.5064   -6630.1505  0.3084 
   00009    0.5032   -6723.8612  0.3126 
   00010    0.4680   -6865.6591  0.3147 
   00011    0.4708   -7015.9964  0.3130 
   00012    0.4792   -7171.2574  0.3079 
   00013    0.4540   -7270.7480  0.3122 
   00014    0.4544   -7338.4697  0.3084 
   00015    0.4500   -7453.4552  0.2992 
   00016    0.4496   -7510.8171  0.2991 
   00017    0.4540   -7552.5088  0.2995 
   00018    0.4424   -7572.6641  0.3015 
   00019    0.4604   -7602.5827  0.3085 
   00020    0.4676   -7618.4426  0.3118 
   00021    0.4596   -7683.5245  0.3126 
   00022    0.4412   -7729.5068  0.3120 
   00023    0.4424   -7796.6194  0.3085 
   00024    0.4596   -7809.6651  0.3115 
   00025    0.4512   -7877.4427  0.3151 
   00026    0.4148   -7863.2934  0.3123 
   00027    0.4380   -7911.8616  0.3120 
   00028    0.4292   -7890.9857  0.3079 
   00029    0.4296   -7913.8849  0.2982 
   00030    0.4312   -7861.5540  0.2990 
   00031    0.4468   -7909.5078  0.2945 
   00032    0.4420   -7950.7408  0.2940 
   00033    0.4516   -8002.2359  0.2945 
   00034    0.4328   -7968.2319  0.2941 
   00035    0.4100   -7990.0006  0.2882 
   00036    0.4472   -8013.1560  0.2902 
   00037    0.4172   -7986.9731  0.2900 
   00038    0.4324   -8034.1189  0.2854 
   00039    0.4284   -8052.4254  0.2865 
   00040    0.4164   -8063.3146  0.2912 
   00041    0.4244   -8062.4157  0.2915 
   00042    0.4508   -8050.4509  0.2932 
   00043    0.4392   -8084.2122  0.2886 
   00044    0.4432   -8063.1391  0.2831 
   00045    0.4304   -8032.9561  0.2849 
   00046    0.4312   -8058.6356  0.2893 
   00047    0.4220   -8096.8633  0.2869 
   00048    0.4176   -8080.9531  0.2822 
   00049    0.4004   -8161.1798  0.2885 
   00050    0.4184   -8120.7719  0.2808 
