#=====================================================
# File created:        Tue-18-Feb-2025-at-06-22-07PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.292749
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2566.1694  0.2608 
   00001    0.6708   -3798.7623  0.2660 
   00002    0.6180   -4528.1375  0.2685 
   00003    0.5712   -5091.3711  0.2722 
   00004    0.5556   -5435.2322  0.2719 
   00005    0.5532   -5858.8053  0.2744 
   00006    0.5168   -6108.4528  0.2703 
   00007    0.5192   -6350.4659  0.2770 
   00008    0.4972   -6507.3211  0.2757 
   00009    0.4932   -6646.3825  0.2700 
   00010    0.4940   -6842.5609  0.2736 
   00011    0.4752   -6982.1695  0.2695 
   00012    0.4700   -7094.1912  0.2763 
   00013    0.4620   -7169.2567  0.2806 
   00014    0.4632   -7252.9475  0.2806 
   00015    0.4572   -7301.2444  0.2829 
   00016    0.4464   -7372.5614  0.2937 
   00017    0.4608   -7428.8532  0.2883 
   00018    0.4756   -7455.3351  0.2899 
   00019    0.4464   -7516.2887  0.2939 
   00020    0.4388   -7535.0607  0.3045 
   00021    0.4528   -7567.9482  0.3062 
   00022    0.4412   -7648.3069  0.3017 
   00023    0.4428   -7730.3233  0.2963 
   00024    0.4448   -7674.3224  0.2919 
   00025    0.4440   -7718.3703  0.2917 
   00026    0.4540   -7739.3738  0.2944 
   00027    0.4336   -7769.3055  0.2972 
   00028    0.4300   -7803.9956  0.3031 
   00029    0.4416   -7794.6508  0.3020 
   00030    0.4248   -7788.2367  0.3014 
   00031    0.4372   -7795.5969  0.2990 
   00032    0.4420   -7802.4226  0.2945 
   00033    0.4328   -7828.1058  0.2997 
   00034    0.4340   -7875.1880  0.2940 
   00035    0.4364   -7912.5589  0.2943 
   00036    0.4184   -7938.4500  0.3004 
   00037    0.4296   -7936.2882  0.3023 
   00038    0.4464   -7881.4990  0.3004 
   00039    0.4212   -7907.7921  0.3018 
   00040    0.4408   -7915.7506  0.3029 
   00041    0.4136   -7993.9611  0.3028 
   00042    0.4304   -8030.0532  0.2991 
   00043    0.4292   -8045.1626  0.2994 
   00044    0.4192   -8082.6752  0.3019 
   00045    0.4276   -8095.4528  0.3121 
   00046    0.4276   -8092.8605  0.3143 
   00047    0.4324   -8071.7610  0.3110 
   00048    0.4204   -8112.2415  0.3123 
   00049    0.4108   -8130.1977  0.3192 
   00050    0.4196   -8165.9997  0.3187 
