cython_numpy_vec_run.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.352, Time: 0.107917 s
         1068873 function calls (1053401 primitive calls) in 0.869 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6502    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
       24    0.001    0.000    0.003    0.000 util.py:208(_collapse_string_to_ranges)
      355    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     1462    0.001    0.000    0.003    0.000 typing.py:1188(__setattr__)
     5486    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
  438/210    0.001    0.000    0.024    0.000 _parser.py:452(_parse_sub)
    355/5    0.001    0.000    0.756    0.151 <frozen importlib._bootstrap>:911(_load_unlocked)
      469    0.001    0.000    0.003    0.000 typing.py:175(_type_check)
      365    0.001    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
        3    0.001    0.000    0.040    0.013 core.py:1(<module>)
      702    0.001    0.000    0.002    0.000 inspect.py:175(get_annotations)
      420    0.001    0.000    0.003    0.000 enum.py:1562(__and__)
     6284    0.001    0.000    0.001    0.000 {method '__contains__' of 'frozenset' objects}
 1692/190    0.001    0.000    0.003    0.000 <frozen abc>:121(__subclasscheck__)
      779    0.001    0.000    0.002    0.000 inspect.py:747(unwrap)
     3026    0.001    0.000    0.001    0.000 inspect.py:3045(<genexpr>)
      350    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
     5671    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      461    0.001    0.000    0.004    0.000 copy.py:61(copy)
1491/1321    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      799    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:162(__enter__)
      303    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
     2690    0.001    0.000    0.002    0.000 _parser.py:176(append)
      317    0.001    0.000    0.007    0.000 overrides.py:142(decorator)
      976    0.001    0.000    0.019    0.000 __init__.py:715(__setitem__)
      210    0.001    0.000    0.041    0.000 _compiler.py:740(compile)
      799    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
     3500    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       38    0.001    0.000    0.009    0.000 enum.py:528(__new__)
     2435    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      586    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
      606    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
   306/12    0.001    0.000    0.006    0.000 core.py:810(_parseNoCache)
       94    0.001    0.000    0.014    0.000 __init__.py:1399(_preprocess_data)
      214    0.001    0.000    0.006    0.000 typing.py:1242(__init__)
      210    0.001    0.000    0.004    0.000 _compiler.py:511(_compile_info)
     4660    0.001    0.000    0.001    0.000 artist.py:1563(<genexpr>)
   885/10    0.001    0.000    0.755    0.075 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   459/74    0.001    0.000    0.655    0.009 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      169    0.001    0.000    0.003    0.000 colors.py:322(_to_rgba_no_colorcycle)
      351    0.001    0.000    0.003    0.000 inspect.py:794(_finddoc)
     1780    0.001    0.000    0.002    0.000 typing.py:1134(_is_dunder)
 3121/738    0.001    0.000    0.001    0.000 __init__.py:353(recursive_subclasses)
    303/4    0.001    0.000    0.755    0.189 <frozen importlib._bootstrap_external>:989(exec_module)
      160    0.001    0.000    0.001    0.000 shape_base.py:612(column_stack)
      278    0.001    0.000    0.003    0.000 overrides.py:83(verify_matching_signatures)
      799    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
      245    0.001    0.000    0.001    0.000 core.py:462(__init__)
        8    0.001    0.000    0.002    0.000 enum.py:1708(convert_class)
     2716    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      210    0.001    0.000    0.025    0.000 _parser.py:969(parse)
       51    0.001    0.000    0.001    0.000 shape_base.py:372(stack)
     2469    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
       51    0.001    0.000    0.001    0.000 linalg.py:1090(eigvalsh)
        1    0.001    0.001    0.008    0.008 helpers.py:1(<module>)
     1278    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
       16    0.001    0.000    0.001    0.000 rcsetup.py:96(_listify_validator)
      616    0.001    0.000    0.001    0.000 enum.py:850(__setattr__)
      303    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
     1536    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
       30    0.001    0.000    0.001    0.000 function_base.py:24(linspace)
      705    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      374    0.001    0.000    0.002    0.000 typing.py:723(<genexpr>)
     1885    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      447    0.001    0.000    0.016    0.000 artist.py:1536(number_of_parameters)
     5581    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     2754    0.001    0.000    0.001    0.000 _parser.py:256(match)
      909    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      219    0.001    0.000    0.002    0.000 typing.py:262(_collect_parameters)
  355/351    0.001    0.000    0.034    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
     7413    0.001    0.000    0.001    0.000 inspect.py:2765(name)
     2460    0.001    0.000    0.001    0.000 _parser.py:164(__len__)
      714    0.001    0.000    0.032    0.000 inspect.py:3308(signature)
     1480    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      351    0.001    0.000    0.002    0.000 inspect.py:784(_findclass)
      102    0.001    0.000    0.301    0.003 artist.py:126(__init_subclass__)
      714    0.001    0.000    0.031    0.000 inspect.py:3050(from_callable)
      456    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
      438    0.001    0.000    0.004    0.000 colors.py:275(to_rgba)
      694    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
     2686    0.001    0.000    0.001    0.000 util.py:200(__call__)
      970    0.001    0.000    0.013    0.000 artist.py:1542(is_alias)
      461    0.001    0.000    0.002    0.000 copy.py:247(_reconstruct)
       16    0.001    0.000    0.004    0.000 typing.py:2780(__new__)
      605    0.001    0.000    0.002    0.000 _inspect.py:96(getargspec)
      350    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      461    0.001    0.000    0.004    0.000 core.py:523(copy)
      100    0.001    0.000    0.012    0.000 pyplot.py:198(_add_pyplot_note)
      202    0.001    0.000    0.002    0.000 fromnumeric.py:71(_wrapreduction)
     2740    0.001    0.000    0.001    0.000 {method 'get' of 'mappingproxy' objects}
      218    0.001    0.000    0.079    0.000 artist.py:1419(__init__)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
      799    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
     2636    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
        7    0.001    0.000    0.003    0.000 enum.py:919(_convert_)
      429    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
     1481    0.001    0.000    0.001    0.000 _parser.py:293(tell)
   437/16    0.001    0.000    0.702    0.044 {built-in method builtins.__import__}
      350    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
     2636    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
     1294    0.001    0.000    0.001    0.000 __init__.py:674(_set)
      409    0.001    0.000    0.005    0.000 rcsetup.py:332(validate_color)
     6225    0.001    0.000    0.001    0.000 inspect.py:2777(kind)
     1816    0.001    0.000    0.001    0.000 inspect.py:371(isfunction)
      111    0.001    0.000    0.005    0.000 rcsetup.py:99(f)
      317    0.001    0.000    0.003    0.000 function_base.py:497(add_newdoc)
      799    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
     1212    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      119    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      368    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
      368    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
     1235    0.000    0.000    0.004    0.000 {built-in method _abc._abc_instancecheck}
  306/239    0.000    0.000    0.014    0.000 typing.py:392(inner)
      114    0.000    0.000    0.237    0.002 artist.py:1837(kwdoc)
      585    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
   256/18    0.000    0.000    0.001    0.000 ast.py:409(generic_visit)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1588(_guarded_repr_or_str)
     1642    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
     1469    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      518    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      712    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
       32    0.000    0.000    0.004    0.000 colors.py:1048(from_list)
      708    0.000    0.000    0.000    0.000 functools.py:65(wraps)
      461    0.000    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      637    0.000    0.000    0.001    0.000 enum.py:79(_is_private)
      303    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      303    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
       82    0.000    0.000    0.006    0.000 typing.py:687(Union)
      368    0.000    0.000    0.001    0.000 __init__.py:82(find_spec)
      210    0.000    0.000    0.015    0.000 _compiler.py:573(_code)
      443    0.000    0.000    0.002    0.000 __init__.py:179(sub)
      786    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
       32    0.000    0.000    0.002    0.000 colors.py:416(to_rgba_array)
      370    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:416(__enter__)
     1469    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
       64    0.000    0.000    0.004    0.000 util.py:360(replaced_by_pep8)
      148    0.000    0.000    0.001    0.000 font_manager.py:934(_json_decode)
      245    0.000    0.000    0.001    0.000 _parser.py:372(_escape)
      850    0.000    0.000    0.001    0.000 colors.py:216(_is_nth_color)
      306    0.000    0.000    0.001    0.000 results.py:153(__new__)
      204    0.000    0.000    0.000    0.000 numeric.py:1330(normalize_axis_tuple)
       63    0.000    0.000    0.001    0.000 inspect.py:3262(__str__)
       51    0.000    0.000    0.000    0.000 numeric.py:67(zeros_like)
      597    0.000    0.000    0.002    0.000 __init__.py:164(match)
      273    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      200    0.000    0.000    0.012    0.000 pyplot.py:165(_copy_docstring_and_deprecators)
      575    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
      549    0.000    0.000    0.000    0.000 {built-in method numpy.array}
      305    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      572    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
     1868    0.000    0.000    0.000    0.000 typing.py:1599(<genexpr>)
      365    0.000    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      144    0.000    0.000    0.001    0.000 typing.py:1609(__hash__)
     1693    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      414    0.000    0.000    0.001    0.000 function_base.py:348(iterable)
      478    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       42    0.000    0.000    0.002    0.000 deprecation.py:131(deprecate)
     1616    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      303    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      865    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
        1    0.000    0.000    0.497    0.497 pyplot.py:1(<module>)
       67    0.000    0.000    0.002    0.000 core.py:4042(__init__)
      788    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       18    0.000    0.000    0.008    0.000 rcsetup.py:827(validate_cycler)
      690    0.000    0.000    0.000    0.000 _mathtext_data.py:1725(<genexpr>)
     1235    0.000    0.000    0.004    0.000 <frozen abc>:117(__instancecheck__)
     1067    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       45    0.000    0.000    0.000    0.000 _compiler.py:386(_mk_bitmap)
     22/3    0.000    0.000    0.002    0.001 core.py:4077(streamline)
        1    0.000    0.000    0.000    0.000 _color_data.py:1(<module>)
      545    0.000    0.000    0.000    0.000 rcsetup.py:191(validator)
        1    0.000    0.000    0.001    0.001 decoder.py:343(raw_decode)
      813    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
     1694    0.000    0.000    0.001    0.000 unicode.py:63(<genexpr>)
      412    0.000    0.000    0.004    0.000 colors.py:221(is_color_like)
      930    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      119    0.000    0.000    0.003    0.000 <frozen abc>:105(__new__)
      368    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        2    0.000    0.000    0.020    0.010 core.py:206(read_style_directory)
        6    0.000    0.000    0.007    0.001 patches.py:2325(pprint_styles)
      318    0.000    0.000    0.001    0.000 typing.py:1178(__getattr__)
      653    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:632(cached)
      690    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       86    0.000    0.000    0.001    0.000 core.py:3850(__init__)
      473    0.000    0.000    0.001    0.000 __init__.py:745(__getitem__)
     2204    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      303    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      366    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      622    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
       93    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
   133/64    0.000    0.000    0.004    0.000 core.py:3976(copy)
      379    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       52    0.000    0.000    0.000    0.000 twodim_base.py:158(eye)
        1    0.000    0.000    0.021    0.021 _axes.py:65(Axes)
1333/1331    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      589    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
      538    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
     1157    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
  215/204    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
       66    0.000    0.000    0.001    0.000 core.py:4619(__init__)
     1370    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      799    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      792    0.000    0.000    0.000    0.000 __init__.py:694(_get)
      214    0.000    0.000    0.001    0.000 {built-in method fromkeys}
       82    0.000    0.000    0.001    0.000 typing.py:345(_remove_dups_flatten)
      637    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
       48    0.000    0.000    0.007    0.000 __init__.py:1355(_add_data_doc)
      214    0.000    0.000    0.002    0.000 typing.py:1147(__init__)
        1    0.000    0.000    0.089    0.089 rcsetup.py:1(<module>)
      370    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:420(__exit__)
      366    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
    154/1    0.000    0.000    0.001    0.001 _mathtext_data.py:1723(_normalize_stix_fontcodes)
  126/115    0.000    0.000    0.040    0.000 _docstring.py:107(__call__)
     1089    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
      800    0.000    0.000    0.000    0.000 __init__.py:970(<lambda>)
     78/4    0.000    0.000    0.001    0.000 core.py:977(_parseCache)
      201    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      243    0.000    0.000    0.001    0.000 inspect.py:2799(__str__)
   256/18    0.000    0.000    0.001    0.000 ast.py:403(visit)
      146    0.000    0.000    0.000    0.000 <string>:2(__init__)
    45/12    0.000    0.000    0.002    0.000 typing.py:1328(_make_substitution)
     1181    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
      241    0.000    0.000    0.004    0.000 rcsetup.py:304(validate_color_for_prop_cycle)
       39    0.000    0.000    0.002    0.000 typing.py:746(Literal)
      448    0.000    0.000    0.000    0.000 colors.py:355(<genexpr>)
      556    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
     1184    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      130    0.000    0.000    0.000    0.000 inspect.py:1795(_check_class)
        1    0.000    0.000    0.001    0.001 six.py:1(<module>)
     62/9    0.000    0.000    0.004    0.000 core.py:3884(leave_whitespace)
      588    0.000    0.000    0.001    0.000 {built-in method builtins.delattr}
      822    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      210    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      461    0.000    0.000    0.000    0.000 copyreg.py:98(__newobj__)
      792    0.000    0.000    0.000    0.000 {function RcParams.__getitem__ at 0x1488ac716660}
      150    0.000    0.000    0.000    0.000 _parser.py:893(_parse_flags)
       71    0.000    0.000    0.002    0.000 deprecation.py:260(rename_parameter)
       66    0.000    0.000    0.001    0.000 inspect.py:2095(_signature_bound_method)
       29    0.000    0.000    0.001    0.000 typing.py:1047(_generic_class_getitem)
      420    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.006    0.006 numeric.py:1(<module>)
       63    0.000    0.000    0.000    0.000 enum.py:1008(_find_data_type_)
      680    0.000    0.000    0.000    0.000 enum.py:202(__get__)
       11    0.000    0.000    0.026    0.002 _docstring.py:79(__missing__)
      223    0.000    0.000    0.001    0.000 {built-in method builtins.any}
      641    0.000    0.000    0.000    0.000 inspect.py:295(isclass)
      210    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      370    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      497    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 helpers.py:153(one_of)
    72/12    0.000    0.000    0.005    0.000 core.py:4127(parseImpl)
        6    0.000    0.000    0.001    0.000 getlimits.py:34(__init__)
      132    0.000    0.000    0.001    0.000 ast.py:419(visit_Constant)
      114    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
       39    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
       12    0.000    0.000    0.001    0.000 __init__.py:223(define_aliases)
        1    0.000    0.000    0.008    0.008 ExifTags.py:1(<module>)
       39    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
       93    0.000    0.000    0.000    0.000 _parser.py:449(_uniq)
      183    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      389    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       52    0.000    0.000    0.000    0.000 core.py:894(__init__)
      698    0.000    0.000    0.000    0.000 ast.py:257(iter_fields)
      195    0.000    0.000    0.001    0.000 inspect.py:2001(_signature_get_user_defined_method)
      196    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
      368    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
    379/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
      147    0.000    0.000    0.000    0.000 _compiler.py:216(_compile_charset)
        1    0.000    0.000    0.014    0.014 numerictypes.py:1(<module>)
