#=====================================================
# File created:        Sat-22-Feb-2025-at-12-34-01AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.040700
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2527.3576  0.2694 
   00001    0.6804   -3745.2292  0.2644 
   00002    0.6204   -4518.2263  0.2811 
   00003    0.5984   -5053.0746  0.2808 
   00004    0.5644   -5484.1919  0.2821 
   00005    0.5464   -5857.8656  0.2829 
   00006    0.5320   -6195.9786  0.2862 
   00007    0.5152   -6386.0112  0.2863 
   00008    0.4964   -6520.3982  0.2844 
   00009    0.5088   -6695.8194  0.2849 
   00010    0.4812   -6868.5220  0.2808 
   00011    0.4684   -6984.0592  0.2838 
   00012    0.4788   -7138.0263  0.2797 
   00013    0.4560   -7198.8152  0.2811 
   00014    0.4656   -7255.8708  0.2767 
   00015    0.4688   -7278.7149  0.2732 
   00016    0.4788   -7321.4622  0.2770 
   00017    0.4520   -7390.7207  0.2731 
   00018    0.4472   -7467.2388  0.2658 
   00019    0.4624   -7576.9883  0.2671 
   00020    0.4320   -7632.4078  0.2697 
   00021    0.4600   -7645.8808  0.2711 
   00022    0.4280   -7697.0878  0.2700 
   00023    0.4392   -7768.4286  0.2760 
   00024    0.4296   -7747.0891  0.2875 
   00025    0.4452   -7758.6331  0.2831 
   00026    0.4344   -7780.9204  0.2870 
   00027    0.4384   -7759.4637  0.2843 
   00028    0.4304   -7810.2193  0.2875 
   00029    0.4320   -7831.1096  0.2824 
   00030    0.4408   -7865.1940  0.2803 
   00031    0.4188   -7832.9524  0.2817 
   00032    0.4512   -7889.4466  0.2860 
   00033    0.4212   -7885.5990  0.2890 
   00034    0.4188   -7964.5228  0.2898 
   00035    0.4316   -8000.6525  0.2940 
   00036    0.4416   -7996.0925  0.2940 
   00037    0.4176   -8041.4107  0.2933 
   00038    0.4280   -8023.7075  0.2941 
   00039    0.4168   -8001.2289  0.3014 
   00040    0.4248   -7956.5361  0.2983 
   00041    0.4240   -8015.2385  0.3007 
   00042    0.4308   -8055.7372  0.2975 
   00043    0.4188   -8083.5193  0.2998 
   00044    0.4240   -8084.9540  0.2939 
   00045    0.4248   -8062.6676  0.2876 
   00046    0.4268   -8068.5713  0.2938 
   00047    0.4392   -8083.3617  0.2952 
   00048    0.4284   -8035.6278  0.2901 
   00049    0.4236   -8044.0990  0.2891 
   00050    0.4208   -8053.9648  0.2950 
