#=====================================================
# File created:        Thu-20-Feb-2025-at-12-57-18PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.296937
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2511.4181  0.2659 
   00001    0.6804   -3675.0757  0.2700 
   00002    0.6088   -4547.5693  0.2743 
   00003    0.5792   -5174.0877  0.2842 
   00004    0.5420   -5633.3326  0.2842 
   00005    0.5236   -5947.0875  0.2898 
   00006    0.5176   -6212.1730  0.2942 
   00007    0.5024   -6472.3487  0.3035 
   00008    0.4764   -6708.6527  0.3031 
   00009    0.4872   -6891.9764  0.3130 
   00010    0.4748   -7008.2636  0.3116 
   00011    0.4708   -7152.6869  0.3228 
   00012    0.4484   -7211.2300  0.3292 
   00013    0.4716   -7317.9568  0.3294 
   00014    0.4592   -7397.8434  0.3285 
   00015    0.4720   -7487.4706  0.3302 
   00016    0.4604   -7555.3805  0.3282 
   00017    0.4436   -7561.7645  0.3283 
   00018    0.4476   -7556.4873  0.3306 
   00019    0.4344   -7584.1879  0.3332 
   00020    0.4528   -7634.4069  0.3300 
   00021    0.4496   -7621.2063  0.3423 
   00022    0.4624   -7717.6421  0.3377 
   00023    0.4388   -7710.7411  0.3401 
   00024    0.4512   -7776.8576  0.3397 
   00025    0.4428   -7775.1064  0.3463 
   00026    0.4340   -7808.3122  0.3461 
   00027    0.4340   -7817.6625  0.3532 
   00028    0.4300   -7842.3180  0.3531 
   00029    0.4268   -7850.1493  0.3580 
   00030    0.4384   -7928.5020  0.3620 
   00031    0.4204   -7974.1945  0.3626 
   00032    0.4420   -8031.2723  0.3650 
   00033    0.4224   -8049.9662  0.3632 
   00034    0.4196   -8041.6640  0.3607 
   00035    0.4240   -8007.1194  0.3599 
   00036    0.4232   -8037.7457  0.3590 
   00037    0.4368   -8021.0821  0.3582 
   00038    0.4488   -8021.5465  0.3557 
   00039    0.4280   -8043.4617  0.3539 
   00040    0.4352   -7996.5182  0.3545 
   00041    0.4212   -8050.1637  0.3624 
   00042    0.4228   -8070.0405  0.3612 
   00043    0.4340   -8093.4609  0.3591 
   00044    0.4176   -8161.1806  0.3531 
   00045    0.4164   -8154.0418  0.3490 
   00046    0.4188   -8127.4216  0.3488 
   00047    0.4332   -8088.5175  0.3449 
   00048    0.4220   -8099.1758  0.3437 
   00049    0.4232   -8113.7504  0.3430 
   00050    0.4516   -8138.2213  0.3366 
