numpy_vec_get_order_all_energy.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.273, Time: 2.359681 s
         1319004 function calls (1303532 primitive calls) in 3.263 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      798    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     9364    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
    369/3    0.002    0.000    0.896    0.299 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     5185    0.002    0.000    0.003    0.000 _parser.py:261(get)
       78    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
     6502    0.002    0.000    0.002    0.000 {method 'isidentifier' of 'str' objects}
     6298    0.002    0.000    0.002    0.000 _parser.py:240(__next)
       24    0.002    0.000    0.003    0.000 util.py:208(_collapse_string_to_ranges)
       50    0.002    0.000    0.002    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
 1692/190    0.002    0.000    0.004    0.000 <frozen abc>:121(__subclasscheck__)
        3    0.002    0.001    0.048    0.016 core.py:1(<module>)
    354/4    0.002    0.000    0.895    0.224 <frozen importlib._bootstrap>:911(_load_unlocked)
  438/210    0.002    0.000    0.028    0.000 _parser.py:452(_parse_sub)
      354    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     5486    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
     6284    0.001    0.000    0.001    0.000 {method '__contains__' of 'frozenset' objects}
     3026    0.001    0.000    0.002    0.000 inspect.py:3045(<genexpr>)
     1462    0.001    0.000    0.003    0.000 typing.py:1188(__setattr__)
      469    0.001    0.000    0.004    0.000 typing.py:175(_type_check)
      779    0.001    0.000    0.002    0.000 inspect.py:747(unwrap)
      420    0.001    0.000    0.003    0.000 enum.py:1562(__and__)
1491/1321    0.001    0.000    0.002    0.000 {method 'update' of 'dict' objects}
      702    0.001    0.000    0.002    0.000 inspect.py:175(get_annotations)
       51    0.001    0.000    0.002    0.000 linalg.py:1090(eigvalsh)
      364    0.001    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
      349    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
     5671    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      461    0.001    0.000    0.004    0.000 copy.py:61(copy)
     2690    0.001    0.000    0.002    0.000 _parser.py:176(append)
      976    0.001    0.000    0.023    0.000 __init__.py:715(__setitem__)
      210    0.001    0.000    0.049    0.000 _compiler.py:740(compile)
      317    0.001    0.000    0.008    0.000 overrides.py:142(decorator)
      798    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:162(__enter__)
     3496    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       38    0.001    0.000    0.010    0.000 enum.py:528(__new__)
      303    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      798    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:74(__new__)
      586    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
   306/12    0.001    0.000    0.006    0.001 core.py:810(_parseNoCache)
      210    0.001    0.000    0.004    0.000 _compiler.py:511(_compile_info)
       94    0.001    0.000    0.017    0.000 __init__.py:1399(_preprocess_data)
       51    0.001    0.000    0.001    0.000 shape_base.py:372(stack)
 3121/738    0.001    0.000    0.001    0.000 __init__.py:353(recursive_subclasses)
      351    0.001    0.000    0.004    0.000 inspect.py:794(_finddoc)
      169    0.001    0.000    0.004    0.000 colors.py:322(_to_rgba_no_colorcycle)
      606    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      374    0.001    0.000    0.003    0.000 typing.py:723(<genexpr>)
      214    0.001    0.000    0.006    0.000 typing.py:1242(__init__)
     2432    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
   459/74    0.001    0.000    0.779    0.011 <frozen importlib._bootstrap>:1390(_handle_fromlist)
